
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.5945, Train Acc: 0.8000, Test Loss: 0.7084, Test Acc: 0.5100, Epoch time: 7.523725 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5029, Train Acc: 0.8000, Test Loss: 0.7867, Test Acc: 0.5100, Epoch time: 7.927344 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.4677, Train Acc: 0.8000, Test Loss: 0.8505, Test Acc: 0.5100, Epoch time: 7.277080 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.4564, Train Acc: 0.8000, Test Loss: 0.8805, Test Acc: 0.5100, Epoch time: 8.860434 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.4476, Train Acc: 0.8000, Test Loss: 0.8745, Test Acc: 0.5100, Epoch time: 7.600084 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.4331, Train Acc: 0.8000, Test Loss: 0.8393, Test Acc: 0.5100, Epoch time: 7.040771 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.4122, Train Acc: 0.8000, Test Loss: 0.7840, Test Acc: 0.5100, Epoch time: 7.019059 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.3871, Train Acc: 0.8000, Test Loss: 0.7177, Test Acc: 0.5100, Epoch time: 7.049618 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.3609, Train Acc: 0.8000, Test Loss: 0.6489, Test Acc: 0.5100, Epoch time: 7.031530 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.3366, Train Acc: 0.8000, Test Loss: 0.5846, Test Acc: 0.5100, Epoch time: 7.061054 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.3164, Train Acc: 0.8000, Test Loss: 0.5294, Test Acc: 0.5500, Epoch time: 7.106833 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.3005, Train Acc: 0.8000, Test Loss: 0.4854, Test Acc: 0.6300, Epoch time: 7.109348 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.2878, Train Acc: 1.0000, Test Loss: 0.4522, Test Acc: 0.7300, Epoch time: 7.116710 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.2759, Train Acc: 1.0000, Test Loss: 0.4283, Test Acc: 0.8200, Epoch time: 7.261693 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.2629, Train Acc: 1.0000, Test Loss: 0.4119, Test Acc: 0.8600, Epoch time: 7.102975 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.2483, Train Acc: 1.0000, Test Loss: 0.4016, Test Acc: 0.8700, Epoch time: 7.146418 seconds
Train Size: 5, Epoch: 17/100, Train Loss: 0.2327, Train Acc: 1.0000, Test Loss: 0.3963, Test Acc: 0.8500, Epoch time: 7.195805 seconds
Train Size: 5, Epoch: 18/100, Train Loss: 0.2173, Train Acc: 1.0000, Test Loss: 0.3947, Test Acc: 0.8400, Epoch time: 7.158005 seconds
Train Size: 5, Epoch: 19/100, Train Loss: 0.2033, Train Acc: 1.0000, Test Loss: 0.3953, Test Acc: 0.8200, Epoch time: 7.123403 seconds
Train Size: 5, Epoch: 20/100, Train Loss: 0.1911, Train Acc: 1.0000, Test Loss: 0.3962, Test Acc: 0.8000, Epoch time: 7.131060 seconds
Train Size: 5, Epoch: 21/100, Train Loss: 0.1805, Train Acc: 1.0000, Test Loss: 0.3954, Test Acc: 0.8000, Epoch time: 7.131979 seconds
Train Size: 5, Epoch: 22/100, Train Loss: 0.1712, Train Acc: 1.0000, Test Loss: 0.3916, Test Acc: 0.8000, Epoch time: 7.111534 seconds
Train Size: 5, Epoch: 23/100, Train Loss: 0.1625, Train Acc: 1.0000, Test Loss: 0.3839, Test Acc: 0.8100, Epoch time: 7.112107 seconds
Train Size: 5, Epoch: 24/100, Train Loss: 0.1541, Train Acc: 1.0000, Test Loss: 0.3723, Test Acc: 0.8200, Epoch time: 7.116489 seconds
Train Size: 5, Epoch: 25/100, Train Loss: 0.1456, Train Acc: 1.0000, Test Loss: 0.3573, Test Acc: 0.8500, Epoch time: 7.126697 seconds
Train Size: 5, Epoch: 26/100, Train Loss: 0.1372, Train Acc: 1.0000, Test Loss: 0.3399, Test Acc: 0.8700, Epoch time: 7.128737 seconds
Train Size: 5, Epoch: 27/100, Train Loss: 0.1290, Train Acc: 1.0000, Test Loss: 0.3213, Test Acc: 0.9000, Epoch time: 7.116333 seconds
Train Size: 5, Epoch: 28/100, Train Loss: 0.1212, Train Acc: 1.0000, Test Loss: 0.3027, Test Acc: 0.9000, Epoch time: 7.135794 seconds
Train Size: 5, Epoch: 29/100, Train Loss: 0.1140, Train Acc: 1.0000, Test Loss: 0.2850, Test Acc: 0.9200, Epoch time: 7.149137 seconds
Train Size: 5, Epoch: 30/100, Train Loss: 0.1074, Train Acc: 1.0000, Test Loss: 0.2689, Test Acc: 0.9300, Epoch time: 7.139278 seconds
Train Size: 5, Epoch: 31/100, Train Loss: 0.1016, Train Acc: 1.0000, Test Loss: 0.2547, Test Acc: 0.9300, Epoch time: 7.130255 seconds
Train Size: 5, Epoch: 32/100, Train Loss: 0.0962, Train Acc: 1.0000, Test Loss: 0.2425, Test Acc: 0.9600, Epoch time: 7.128852 seconds
Train Size: 5, Epoch: 33/100, Train Loss: 0.0913, Train Acc: 1.0000, Test Loss: 0.2325, Test Acc: 0.9700, Epoch time: 7.131586 seconds
Train Size: 5, Epoch: 34/100, Train Loss: 0.0866, Train Acc: 1.0000, Test Loss: 0.2243, Test Acc: 0.9700, Epoch time: 7.137718 seconds
Train Size: 5, Epoch: 35/100, Train Loss: 0.0821, Train Acc: 1.0000, Test Loss: 0.2178, Test Acc: 0.9700, Epoch time: 7.129224 seconds
Train Size: 5, Epoch: 36/100, Train Loss: 0.0778, Train Acc: 1.0000, Test Loss: 0.2128, Test Acc: 0.9700, Epoch time: 7.130812 seconds
Train Size: 5, Epoch: 37/100, Train Loss: 0.0737, Train Acc: 1.0000, Test Loss: 0.2090, Test Acc: 0.9700, Epoch time: 7.171836 seconds
Train Size: 5, Epoch: 38/100, Train Loss: 0.0698, Train Acc: 1.0000, Test Loss: 0.2062, Test Acc: 0.9700, Epoch time: 7.133678 seconds
Train Size: 5, Epoch: 39/100, Train Loss: 0.0661, Train Acc: 1.0000, Test Loss: 0.2040, Test Acc: 0.9700, Epoch time: 7.127147 seconds
Train Size: 5, Epoch: 40/100, Train Loss: 0.0627, Train Acc: 1.0000, Test Loss: 0.2022, Test Acc: 0.9700, Epoch time: 7.121586 seconds
Train Size: 5, Epoch: 41/100, Train Loss: 0.0596, Train Acc: 1.0000, Test Loss: 0.2006, Test Acc: 0.9700, Epoch time: 7.129070 seconds
Train Size: 5, Epoch: 42/100, Train Loss: 0.0567, Train Acc: 1.0000, Test Loss: 0.1989, Test Acc: 0.9700, Epoch time: 7.135304 seconds
Train Size: 5, Epoch: 43/100, Train Loss: 0.0541, Train Acc: 1.0000, Test Loss: 0.1970, Test Acc: 0.9700, Epoch time: 7.147047 seconds
Train Size: 5, Epoch: 44/100, Train Loss: 0.0516, Train Acc: 1.0000, Test Loss: 0.1947, Test Acc: 0.9700, Epoch time: 7.124783 seconds
Train Size: 5, Epoch: 45/100, Train Loss: 0.0494, Train Acc: 1.0000, Test Loss: 0.1920, Test Acc: 0.9700, Epoch time: 7.155756 seconds
Train Size: 5, Epoch: 46/100, Train Loss: 0.0472, Train Acc: 1.0000, Test Loss: 0.1889, Test Acc: 0.9700, Epoch time: 7.152295 seconds
Train Size: 5, Epoch: 47/100, Train Loss: 0.0452, Train Acc: 1.0000, Test Loss: 0.1854, Test Acc: 0.9700, Epoch time: 7.130618 seconds
Train Size: 5, Epoch: 48/100, Train Loss: 0.0434, Train Acc: 1.0000, Test Loss: 0.1815, Test Acc: 0.9700, Epoch time: 7.132354 seconds
Train Size: 5, Epoch: 49/100, Train Loss: 0.0416, Train Acc: 1.0000, Test Loss: 0.1774, Test Acc: 0.9700, Epoch time: 7.152371 seconds
Train Size: 5, Epoch: 50/100, Train Loss: 0.0399, Train Acc: 1.0000, Test Loss: 0.1732, Test Acc: 0.9700, Epoch time: 7.128795 seconds
Train Size: 5, Epoch: 51/100, Train Loss: 0.0383, Train Acc: 1.0000, Test Loss: 0.1690, Test Acc: 0.9700, Epoch time: 7.132160 seconds
Train Size: 5, Epoch: 52/100, Train Loss: 0.0368, Train Acc: 1.0000, Test Loss: 0.1649, Test Acc: 0.9700, Epoch time: 7.156520 seconds
Train Size: 5, Epoch: 53/100, Train Loss: 0.0355, Train Acc: 1.0000, Test Loss: 0.1609, Test Acc: 0.9700, Epoch time: 7.141411 seconds
Train Size: 5, Epoch: 54/100, Train Loss: 0.0342, Train Acc: 1.0000, Test Loss: 0.1571, Test Acc: 0.9700, Epoch time: 7.172593 seconds
Train Size: 5, Epoch: 55/100, Train Loss: 0.0330, Train Acc: 1.0000, Test Loss: 0.1537, Test Acc: 0.9700, Epoch time: 7.131252 seconds
