
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
[0. 1. 1. 0. 0.]
Train Size: 5, Epoch: 1/100, Train Loss: 0.7003, Train Acc: 0.6000, Test Loss: 0.6977, Test Acc: 0.5300, Epoch time: 4.627078 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5740, Train Acc: 0.6000, Test Loss: 0.6055, Test Acc: 0.6700, Epoch time: 5.630473 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.4675, Train Acc: 0.8000, Test Loss: 0.5273, Test Acc: 0.7800, Epoch time: 5.462547 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.3784, Train Acc: 1.0000, Test Loss: 0.4616, Test Acc: 0.8500, Epoch time: 5.081051 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.3044, Train Acc: 1.0000, Test Loss: 0.4069, Test Acc: 0.8800, Epoch time: 4.661430 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.2438, Train Acc: 1.0000, Test Loss: 0.3617, Test Acc: 0.9100, Epoch time: 6.156412 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.1949, Train Acc: 1.0000, Test Loss: 0.3244, Test Acc: 0.9100, Epoch time: 5.488104 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.1560, Train Acc: 1.0000, Test Loss: 0.2935, Test Acc: 0.9200, Epoch time: 4.897065 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.1254, Train Acc: 1.0000, Test Loss: 0.2678, Test Acc: 0.9200, Epoch time: 4.654238 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.1013, Train Acc: 1.0000, Test Loss: 0.2460, Test Acc: 0.9200, Epoch time: 4.690918 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.0823, Train Acc: 1.0000, Test Loss: 0.2275, Test Acc: 0.9300, Epoch time: 4.856677 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.0672, Train Acc: 1.0000, Test Loss: 0.2117, Test Acc: 0.9300, Epoch time: 4.756220 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.0553, Train Acc: 1.0000, Test Loss: 0.1982, Test Acc: 0.9300, Epoch time: 4.601936 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.0459, Train Acc: 1.0000, Test Loss: 0.1867, Test Acc: 0.9400, Epoch time: 4.495599 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.0383, Train Acc: 1.0000, Test Loss: 0.1768, Test Acc: 0.9400, Epoch time: 4.641959 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.0323, Train Acc: 1.0000, Test Loss: 0.1683, Test Acc: 0.9400, Epoch time: 4.494529 seconds
Train Size: 5, Epoch: 17/100, Train Loss: 0.0274, Train Acc: 1.0000, Test Loss: 0.1612, Test Acc: 0.9400, Epoch time: 4.705872 seconds
Train Size: 5, Epoch: 18/100, Train Loss: 0.0235, Train Acc: 1.0000, Test Loss: 0.1551, Test Acc: 0.9400, Epoch time: 4.824759 seconds
Train Size: 5, Epoch: 19/100, Train Loss: 0.0203, Train Acc: 1.0000, Test Loss: 0.1499, Test Acc: 0.9400, Epoch time: 4.632822 seconds
Train Size: 5, Epoch: 20/100, Train Loss: 0.0177, Train Acc: 1.0000, Test Loss: 0.1456, Test Acc: 0.9400, Epoch time: 4.599914 seconds
Train Size: 5, Epoch: 21/100, Train Loss: 0.0155, Train Acc: 1.0000, Test Loss: 0.1419, Test Acc: 0.9400, Epoch time: 4.511376 seconds
Train Size: 5, Epoch: 22/100, Train Loss: 0.0137, Train Acc: 1.0000, Test Loss: 0.1388, Test Acc: 0.9600, Epoch time: 4.460539 seconds
Train Size: 5, Epoch: 23/100, Train Loss: 0.0122, Train Acc: 1.0000, Test Loss: 0.1361, Test Acc: 0.9600, Epoch time: 4.540498 seconds
Train Size: 5, Epoch: 24/100, Train Loss: 0.0109, Train Acc: 1.0000, Test Loss: 0.1340, Test Acc: 0.9600, Epoch time: 4.969599 seconds
Train Size: 5, Epoch: 25/100, Train Loss: 0.0099, Train Acc: 1.0000, Test Loss: 0.1321, Test Acc: 0.9600, Epoch time: 4.939679 seconds
Train Size: 5, Epoch: 26/100, Train Loss: 0.0089, Train Acc: 1.0000, Test Loss: 0.1306, Test Acc: 0.9600, Epoch time: 5.222021 seconds
Train Size: 5, Epoch: 27/100, Train Loss: 0.0082, Train Acc: 1.0000, Test Loss: 0.1293, Test Acc: 0.9600, Epoch time: 4.921277 seconds
Train Size: 5, Epoch: 28/100, Train Loss: 0.0075, Train Acc: 1.0000, Test Loss: 0.1283, Test Acc: 0.9600, Epoch time: 4.390211 seconds
Train Size: 5, Epoch: 29/100, Train Loss: 0.0069, Train Acc: 1.0000, Test Loss: 0.1274, Test Acc: 0.9600, Epoch time: 4.809338 seconds
Train Size: 5, Epoch: 30/100, Train Loss: 0.0064, Train Acc: 1.0000, Test Loss: 0.1267, Test Acc: 0.9600, Epoch time: 4.435703 seconds
Train Size: 5, Epoch: 31/100, Train Loss: 0.0059, Train Acc: 1.0000, Test Loss: 0.1261, Test Acc: 0.9600, Epoch time: 5.167959 seconds
Train Size: 5, Epoch: 32/100, Train Loss: 0.0055, Train Acc: 1.0000, Test Loss: 0.1257, Test Acc: 0.9600, Epoch time: 5.059046 seconds
Train Size: 5, Epoch: 33/100, Train Loss: 0.0052, Train Acc: 1.0000, Test Loss: 0.1253, Test Acc: 0.9600, Epoch time: 4.908887 seconds
Train Size: 5, Epoch: 34/100, Train Loss: 0.0049, Train Acc: 1.0000, Test Loss: 0.1250, Test Acc: 0.9600, Epoch time: 4.719783 seconds
Train Size: 5, Epoch: 35/100, Train Loss: 0.0046, Train Acc: 1.0000, Test Loss: 0.1247, Test Acc: 0.9600, Epoch time: 4.587849 seconds
Train Size: 5, Epoch: 36/100, Train Loss: 0.0044, Train Acc: 1.0000, Test Loss: 0.1245, Test Acc: 0.9600, Epoch time: 4.527527 seconds
Train Size: 5, Epoch: 37/100, Train Loss: 0.0042, Train Acc: 1.0000, Test Loss: 0.1244, Test Acc: 0.9600, Epoch time: 5.114875 seconds
Train Size: 5, Epoch: 38/100, Train Loss: 0.0040, Train Acc: 1.0000, Test Loss: 0.1242, Test Acc: 0.9600, Epoch time: 4.790861 seconds
Train Size: 5, Epoch: 39/100, Train Loss: 0.0038, Train Acc: 1.0000, Test Loss: 0.1241, Test Acc: 0.9600, Epoch time: 4.717235 seconds
Train Size: 5, Epoch: 40/100, Train Loss: 0.0036, Train Acc: 1.0000, Test Loss: 0.1240, Test Acc: 0.9600, Epoch time: 5.072968 seconds
Train Size: 5, Epoch: 41/100, Train Loss: 0.0035, Train Acc: 1.0000, Test Loss: 0.1239, Test Acc: 0.9600, Epoch time: 5.555915 seconds
Train Size: 5, Epoch: 42/100, Train Loss: 0.0034, Train Acc: 1.0000, Test Loss: 0.1239, Test Acc: 0.9600, Epoch time: 4.674501 seconds
Train Size: 5, Epoch: 43/100, Train Loss: 0.0033, Train Acc: 1.0000, Test Loss: 0.1238, Test Acc: 0.9600, Epoch time: 4.959969 seconds
Train Size: 5, Epoch: 44/100, Train Loss: 0.0031, Train Acc: 1.0000, Test Loss: 0.1237, Test Acc: 0.9600, Epoch time: 5.214140 seconds
Train Size: 5, Epoch: 45/100, Train Loss: 0.0030, Train Acc: 1.0000, Test Loss: 0.1237, Test Acc: 0.9600, Epoch time: 5.303406 seconds
Train Size: 5, Epoch: 46/100, Train Loss: 0.0030, Train Acc: 1.0000, Test Loss: 0.1236, Test Acc: 0.9600, Epoch time: 4.907167 seconds
Train Size: 5, Epoch: 47/100, Train Loss: 0.0029, Train Acc: 1.0000, Test Loss: 0.1235, Test Acc: 0.9600, Epoch time: 5.604046 seconds
Train Size: 5, Epoch: 48/100, Train Loss: 0.0028, Train Acc: 1.0000, Test Loss: 0.1235, Test Acc: 0.9600, Epoch time: 5.095454 seconds
Train Size: 5, Epoch: 49/100, Train Loss: 0.0027, Train Acc: 1.0000, Test Loss: 0.1234, Test Acc: 0.9600, Epoch time: 5.264920 seconds
Train Size: 5, Epoch: 50/100, Train Loss: 0.0027, Train Acc: 1.0000, Test Loss: 0.1234, Test Acc: 0.9600, Epoch time: 5.849727 seconds
Train Size: 5, Epoch: 51/100, Train Loss: 0.0026, Train Acc: 1.0000, Test Loss: 0.1233, Test Acc: 0.9600, Epoch time: 6.019446 seconds
Train Size: 5, Epoch: 52/100, Train Loss: 0.0025, Train Acc: 1.0000, Test Loss: 0.1232, Test Acc: 0.9600, Epoch time: 5.023044 seconds
Train Size: 5, Epoch: 53/100, Train Loss: 0.0025, Train Acc: 1.0000, Test Loss: 0.1232, Test Acc: 0.9600, Epoch time: 5.099835 seconds
Train Size: 5, Epoch: 54/100, Train Loss: 0.0024, Train Acc: 1.0000, Test Loss: 0.1231, Test Acc: 0.9600, Epoch time: 5.298535 seconds
Train Size: 5, Epoch: 55/100, Train Loss: 0.0024, Train Acc: 1.0000, Test Loss: 0.1230, Test Acc: 0.9600, Epoch time: 5.040783 seconds
Train Size: 5, Epoch: 56/100, Train Loss: 0.0023, Train Acc: 1.0000, Test Loss: 0.1230, Test Acc: 0.9600, Epoch time: 5.275031 seconds
Train Size: 5, Epoch: 57/100, Train Loss: 0.0023, Train Acc: 1.0000, Test Loss: 0.1229, Test Acc: 0.9600, Epoch time: 5.900109 seconds
Train Size: 5, Epoch: 58/100, Train Loss: 0.0022, Train Acc: 1.0000, Test Loss: 0.1229, Test Acc: 0.9600, Epoch time: 5.437072 seconds
Train Size: 5, Epoch: 59/100, Train Loss: 0.0022, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 5.486778 seconds
Train Size: 5, Epoch: 60/100, Train Loss: 0.0022, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 4.756532 seconds
Train Size: 5, Epoch: 61/100, Train Loss: 0.0021, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 4.742496 seconds
Train Size: 5, Epoch: 62/100, Train Loss: 0.0021, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 5.110474 seconds
Train Size: 5, Epoch: 63/100, Train Loss: 0.0021, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 4.759460 seconds
Train Size: 5, Epoch: 64/100, Train Loss: 0.0020, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 4.545337 seconds
Train Size: 5, Epoch: 65/100, Train Loss: 0.0020, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 4.920299 seconds
Train Size: 5, Epoch: 66/100, Train Loss: 0.0020, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.007417 seconds
Train Size: 5, Epoch: 67/100, Train Loss: 0.0019, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.885124 seconds
Train Size: 5, Epoch: 68/100, Train Loss: 0.0019, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.492686 seconds
Train Size: 5, Epoch: 69/100, Train Loss: 0.0019, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.864113 seconds
Train Size: 5, Epoch: 70/100, Train Loss: 0.0019, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.881601 seconds
Train Size: 5, Epoch: 71/100, Train Loss: 0.0018, Train Acc: 1.0000, Test Loss: 0.1226, Test Acc: 0.9600, Epoch time: 5.627108 seconds
Train Size: 5, Epoch: 72/100, Train Loss: 0.0018, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 5.402150 seconds
Train Size: 5, Epoch: 73/100, Train Loss: 0.0018, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 5.437745 seconds
Train Size: 5, Epoch: 74/100, Train Loss: 0.0018, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 5.330865 seconds
Train Size: 5, Epoch: 75/100, Train Loss: 0.0017, Train Acc: 1.0000, Test Loss: 0.1227, Test Acc: 0.9600, Epoch time: 5.473185 seconds
Train Size: 5, Epoch: 76/100, Train Loss: 0.0017, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 5.295810 seconds
Train Size: 5, Epoch: 77/100, Train Loss: 0.0017, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 5.241786 seconds
Train Size: 5, Epoch: 78/100, Train Loss: 0.0017, Train Acc: 1.0000, Test Loss: 0.1228, Test Acc: 0.9600, Epoch time: 5.347429 seconds
Train Size: 5, Epoch: 79/100, Train Loss: 0.0017, Train Acc: 1.0000, Test Loss: 0.1229, Test Acc: 0.9600, Epoch time: 5.312391 seconds
