step,train_cost,train_acc,test_cost,test_acc,n_train,batch_size
1,2.4687718612170615,0.12578125298023224,2.3076072388159345,0.09999999403953552,1000,64
2,2.15498381665539,0.20742186903953552,1.9891737445333384,0.2449999898672104,1000,64
3,2.0820358509769794,0.24355468153953552,1.9804949323729089,0.29499998688697815,1000,64
4,2.040882828633603,0.2660156190395355,1.9273853161236085,0.3100000023841858,1000,64
5,2.0737383564051806,0.26054686307907104,1.9181685966027324,0.29499998688697815,1000,64
6,1.9907163140008846,0.30195313692092896,1.9856411044876578,0.32999998331069946,1000,64
7,1.9375108801194312,0.3236328065395355,1.8858612064113809,0.3499999940395355,1000,64
8,1.9967581336650753,0.31132811307907104,1.8132844354155448,0.3349999785423279,1000,64
9,1.8462553769986572,0.33808594942092896,1.9610467736015909,0.3199999928474426,1000,64
10,1.8293478475991076,0.3501953184604645,1.7298527221431268,0.3999999761581421,1000,64
11,1.8275880152099975,0.357421875,1.7039330995213566,0.3999999761581421,1000,64
12,1.7681908965382382,0.3666015565395355,1.5930878203841785,0.41499999165534973,1000,64
13,1.7326662328208111,0.38671875,1.651891995670745,0.42499998211860657,1000,64
14,1.6443986622471713,0.41015625,1.6745927447068605,0.4050000011920929,1000,64
15,1.685897800882633,0.40644532442092896,1.9751548285025624,0.4050000011920929,1000,64
16,1.6588466041604255,0.40644532442092896,1.5826549880422176,0.4650000035762787,1000,64
17,1.5994480727727558,0.4169921875,1.508722400846406,0.47999998927116394,1000,64
18,1.5477180566334554,0.44257813692092896,1.614127063013541,0.4749999940395355,1000,64
19,1.5180253100791359,0.46210938692092896,1.5707777198670416,0.45499998331069946,1000,64
20,1.4877997167171657,0.4447265565395355,1.4060153989863047,0.5299999713897705,1000,64
21,1.5065870199317135,0.45390623807907104,1.4483767239375929,0.4599999785423279,1000,64
22,1.5454676236176097,0.4423828125,1.5924126978369972,0.4699999988079071,1000,64
23,1.4513414034022827,0.4888671934604645,1.554098150329404,0.5,1000,64
