step,train_cost,train_acc,test_cost,test_acc,n_train,batch_size
1,2.562016290263911,0.09707031399011612,2.3827332810328854,0.11499999463558197,1000,64
2,2.3847199850808907,0.14765624701976776,2.514128726180238,0.17999999225139618,1000,64
3,2.369370795527423,0.16035155951976776,2.3779093303342123,0.1550000011920929,1000,64
4,2.2325863670977166,0.21953125298023224,2.277258064240442,0.2199999988079071,1000,64
5,2.189125870786134,0.216796875,2.07756170440686,0.2750000059604645,1000,64
6,2.158282152688637,0.24628905951976776,2.144586224505243,0.2149999886751175,1000,64
7,2.2326875026119115,0.23183593153953552,2.0913589013322262,0.2149999886751175,1000,64
8,2.055296638028423,0.2710937559604645,2.0845481923357547,0.28999999165534973,1000,64
9,1.9965298645712797,0.2841796875,2.1940759188071035,0.2800000011920929,1000,64
10,2.0229700558274586,0.3111328184604645,2.1349647233405404,0.2849999964237213,1000,64
11,2.0065804054445695,0.2822265625,2.085348013943392,0.25999999046325684,1000,64
12,1.9476193101684736,0.310546875,2.2829464375757937,0.26499998569488525,1000,64
13,1.9096854078756327,0.31621092557907104,1.9753843382231282,0.3149999976158142,1000,64
14,1.89458402548871,0.328125,2.103120524771798,0.2750000059604645,1000,64
15,1.8986469411018874,0.3226562440395355,2.0848873229891005,0.25999999046325684,1000,64
16,1.874091511576189,0.3238281309604645,2.1814197592121385,0.26499998569488525,1000,64
17,1.8756927051806782,0.3375000059604645,1.9853918416896696,0.26999998092651367,1000,64
18,1.804367242079191,0.3431640565395355,1.955253211375374,0.3199999928474426,1000,64
19,1.8335419541898499,0.33671873807907104,1.8986901760410886,0.375,1000,64
20,1.796844152769375,0.3443359434604645,1.8098845868801745,0.3700000047683716,1000,64
21,1.7974503691724681,0.3460937440395355,2.0604639570256817,0.3149999976158142,1000,64
22,1.768493583242073,0.35175782442092896,1.853850811941986,0.3700000047683716,1000,64
23,1.721051424061971,0.39433592557907104,1.8274729895314328,0.3649999797344208,1000,64
24,1.7145674524914356,0.380859375,1.9407177313214623,0.32999998331069946,1000,64
25,1.7525183767933536,0.3814453184604645,1.8395378407935956,0.3499999940395355,1000,64
26,1.7786111495343824,0.3375000059604645,1.9666186910188237,0.3449999988079071,1000,64
27,1.7131407497452433,0.3714843690395355,1.7621316627256212,0.35999998450279236,1000,64
28,1.6955171766125166,0.3871093690395355,1.9419999040270068,0.35999998450279236,1000,64
29,1.7325556613608295,0.3792968690395355,1.8617851650844879,0.35999998450279236,1000,64
30,1.7117303907119403,0.384765625,1.7414757462338601,0.38999998569488525,1000,64
31,1.668674839468436,0.3970703184604645,1.6777330879946644,0.41999998688697815,1000,64
32,1.610585442991032,0.4222656190395355,1.784477071975317,0.375,1000,64
33,1.6117728511710665,0.40507811307907104,1.6941914829088944,0.3999999761581421,1000,64
34,1.6180619964334357,0.4124999940395355,1.8046062261148947,0.3700000047683716,1000,64
35,1.616340109122301,0.4300781190395355,1.7117499795954567,0.39499998092651367,1000,64
36,1.5955094425490302,0.4300781190395355,1.8956350770934443,0.3400000035762787,1000,64
37,1.5775692292559502,0.4345703125,1.7996081822495558,0.38499999046325684,1000,64
38,1.5441396290021123,0.4345703125,1.7646211490914328,0.375,1000,64
39,1.5497639537225072,0.45683592557907104,1.7609113742044362,0.41999998688697815,1000,64
40,1.5521165713062448,0.4351562559604645,1.7137076261222375,0.39499998092651367,1000,64
41,1.5751569529855267,0.4361328184604645,1.8114217216509265,0.4050000011920929,1000,64
42,1.5538608546143362,0.4580078125,1.7147817094337015,0.39499998092651367,1000,64
43,1.5214547770854003,0.46601563692092896,1.7105669636278733,0.4350000023841858,1000,64
44,1.486477137618392,0.47050780057907104,1.7249565209511235,0.429999977350235,1000,64
45,1.4684107267494069,0.4732421934604645,1.680267355767493,0.45499998331069946,1000,64
46,1.5088901264939834,0.455078125,1.646504967788506,0.4449999928474426,1000,64
47,1.4783784623139224,0.4722656309604645,1.721626772997553,0.44999998807907104,1000,64
48,1.4303659012317276,0.47929686307907104,1.679083912109242,0.429999977350235,1000,64
49,1.474258031698011,0.48261719942092896,1.7370031365992264,0.4449999928474426,1000,64
50,1.43310716993906,0.48515623807907104,1.7341686244703576,0.4399999976158142,1000,64
51,1.4262692108111499,0.46855467557907104,1.7426195989430755,0.42499998211860657,1000,64
52,1.40023594935492,0.48828125,1.888924232328589,0.41499999165534973,1000,64
53,1.4042104700515758,0.4886718690395355,1.760255526581106,0.4350000023841858,1000,64
54,1.4054139438595241,0.4990234375,1.7329947516113533,0.41499999165534973,1000,64
55,1.3598202048523518,0.4986328184604645,1.8099542435026077,0.41499999165534973,1000,64
56,1.3591192960648182,0.4931640625,1.7589420399127855,0.4099999964237213,1000,64
57,1.3360993097144713,0.525585949420929,1.651534080891136,0.4449999928474426,1000,64
58,1.3451099239602742,0.5166015625,1.7077522915504721,0.42499998211860657,1000,64
59,1.318998208752106,0.5257812738418579,1.73783448801425,0.44999998807907104,1000,64
60,1.3321379758688794,0.520312488079071,1.8186723461994794,0.41999998688697815,1000,64
61,1.314159483272026,0.5367187261581421,1.767797043453247,0.41999998688697815,1000,64
62,1.3136722089133985,0.5316406488418579,1.6818756349717325,0.4350000023841858,1000,64
63,1.3554535618269252,0.48652344942092896,1.7725284803944632,0.42499998211860657,1000,64
64,1.278365578163958,0.5361328125,1.7483003191313253,0.429999977350235,1000,64
65,1.3251015959072932,0.5326172113418579,1.664525732136057,0.42499998211860657,1000,64
66,1.2650231159413814,0.5328124761581421,1.6898713797195748,0.42499998211860657,1000,64
67,1.266141734409216,0.5433593988418579,1.7506443624933348,0.44999998807907104,1000,64
68,1.2660703425297872,0.545117199420929,1.7222235846803946,0.42499998211860657,1000,64
69,1.27790113674469,0.5433593988418579,1.7912413940334344,0.41499999165534973,1000,64
70,1.3008060649482014,0.501953125,1.711114481943634,0.4449999928474426,1000,64
71,1.2480281391316983,0.5552734136581421,1.7421953446675729,0.4099999964237213,1000,64
72,1.2695238837651375,0.5259765386581421,1.7106906091335679,0.429999977350235,1000,64
73,1.2307338458850392,0.5833984613418579,1.7142867239714985,0.429999977350235,1000,64
74,1.2515864205278262,0.53515625,1.721410915149881,0.41999998688697815,1000,64
75,1.1985192195976504,0.568554699420929,1.670638087197778,0.4650000035762787,1000,64
76,1.2170579176273404,0.5658203363418579,1.730012129052224,0.42499998211860657,1000,64
77,1.2414191169417297,0.545117199420929,1.7310445580477403,0.429999977350235,1000,64
78,1.2191009327752322,0.5478515625,1.7456490574985524,0.429999977350235,1000,64
79,1.193154499725066,0.5751953125,1.7253824929103783,0.429999977350235,1000,64
80,1.1761842947365837,0.5806640386581421,1.7458882120791868,0.44999998807907104,1000,64
81,1.1784691058447936,0.5791015625,1.7486542328340742,0.44999998807907104,1000,64
82,1.1825626010448191,0.5732421875,1.7295973029981948,0.44999998807907104,1000,64
83,1.2326061553332956,0.548632800579071,1.712976163659794,0.42499998211860657,1000,64
84,1.1396820553217504,0.5816406011581421,1.7202266185538024,0.4449999928474426,1000,64
85,1.1655209818651104,0.572265625,1.7186447162191711,0.45499998331069946,1000,64
86,1.197248480444002,0.571484386920929,1.722431625413776,0.4399999976158142,1000,64
87,1.146986444651039,0.596875011920929,1.7175202618573717,0.4449999928474426,1000,64
88,1.135911571334348,0.603320300579071,1.7071217649310222,0.44999998807907104,1000,64
89,1.1593343417097433,0.5912109613418579,1.7198403320977642,0.4449999928474426,1000,64
90,1.1902222525450972,0.572460949420929,1.7130109754466698,0.429999977350235,1000,64
91,1.169169276444171,0.5757812261581421,1.7135795909819809,0.4449999928474426,1000,64
92,1.1635398074256187,0.5826171636581421,1.7154346630995538,0.4449999928474426,1000,64
