step,train_cost,train_acc,test_cost,test_acc,n_train,batch_size
1,2.788617424301494,0.13066406548023224,2.2157005552760496,0.20499999821186066,1000,64
2,2.5494962544154642,0.20175781846046448,2.1185139369193338,0.2449999898672104,1000,64
3,2.4761031422787307,0.2177734375,1.9756939257710266,0.3149999976158142,1000,64
4,2.4274386326031934,0.2542968690395355,1.9105667156030386,0.3100000023841858,1000,64
5,2.3942889092666553,0.2763671875,1.8060039441022218,0.3649999797344208,1000,64
6,2.3346087727939295,0.28144532442092896,1.793289260560951,0.35999998450279236,1000,64
7,2.3081103301250034,0.30976563692092896,1.7606054420238533,0.3149999976158142,1000,64
8,2.2732667957095423,0.3218750059604645,1.7319933901058995,0.38499999046325684,1000,64
9,2.171059207987431,0.345703125,1.6433891319359533,0.39499998092651367,1000,64
10,2.145628547537719,0.36054688692092896,1.6825435873733512,0.41999998688697815,1000,64
11,2.144776966318066,0.3814453184604645,1.5986787604289938,0.41999998688697815,1000,64
12,2.0781824322655424,0.3832031190395355,1.6334376844626206,0.41499999165534973,1000,64
13,2.0397852170831126,0.3804687559604645,1.6192247664249362,0.4449999928474426,1000,64
14,2.0786492812902715,0.37226563692092896,1.5077480129869156,0.5049999952316284,1000,64
15,2.017655377762866,0.4261718690395355,1.6184395709769808,0.39499998092651367,1000,64
16,2.0077627372586866,0.43769532442092896,1.5738915454140134,0.41999998688697815,1000,64
17,2.006902489558508,0.4136718809604645,1.7019040402329693,0.38499999046325684,1000,64
18,1.965747362095662,0.4361328184604645,1.4687837195982825,0.45499998331069946,1000,64
19,1.926159673102442,0.44648438692092896,1.4653014885372604,0.4699999988079071,1000,64
20,1.9404967102707085,0.44902342557907104,1.4663888330073476,0.4699999988079071,1000,64
21,1.9092479583011217,0.4556640684604645,1.4789849183253096,0.4599999785423279,1000,64
22,1.8849337590100315,0.4644531309604645,1.4229428090643241,0.5,1000,64
23,1.8521111451569785,0.478515625,1.3917263502148547,0.5299999713897705,1000,64
24,1.878844782415493,0.4771484434604645,1.442650415348597,0.47999998927116394,1000,64
25,1.819827053477445,0.4761718809604645,1.4056378043102082,0.4699999988079071,1000,64
26,1.766520522849142,0.5123046636581421,1.4536653802097959,0.4599999785423279,1000,64
27,1.8062166563699757,0.4964843690395355,1.4574076040426052,0.5049999952316284,1000,64
28,1.7802201096900556,0.500781238079071,1.402695140713423,0.4449999928474426,1000,64
29,1.7791296747083114,0.523242175579071,1.4187991675907252,0.4650000035762787,1000,64
30,1.7159404204831148,0.5208984613418579,1.5007366750356224,0.47999998927116394,1000,64
31,1.7113785002178252,0.5365234613418579,1.3739008413460372,0.4650000035762787,1000,64
32,1.7071039916674655,0.5306640863418579,1.3831402998452305,0.5,1000,64
33,1.7399454757731325,0.5078125,1.4311926292020791,0.47999998927116394,1000,64
34,1.6919235564157868,0.5419921875,1.3727264246736848,0.5149999856948853,1000,64
35,1.6867416752284763,0.541796863079071,1.418287440087104,0.5099999904632568,1000,64
36,1.6433737226303982,0.5498046875,1.4167371915349718,0.5049999952316284,1000,64
37,1.6734465976830477,0.5248047113418579,1.4479173450319962,0.47999998927116394,1000,64
38,1.6490848262683229,0.5609375238418579,1.3731000587948938,0.5399999618530273,1000,64
39,1.6370974413047432,0.5689452886581421,1.4370027343079546,0.4699999988079071,1000,64
40,1.6168698615348849,0.5748046636581421,1.4115313001569143,0.4949999749660492,1000,64
41,1.6041940278396587,0.5791015625,1.3926445714204567,0.47999998927116394,1000,64
42,1.5669949487762458,0.60546875,1.4576699062519518,0.4899999797344208,1000,64
43,1.5438430702907966,0.597460925579071,1.358031422141658,0.5,1000,64
44,1.526582521334246,0.59375,1.4222722199037205,0.4749999940395355,1000,64
45,1.5263288132468271,0.608593761920929,1.3649433941397828,0.48499998450279236,1000,64
46,1.4810161569206732,0.607421875,1.4143796655505418,0.4749999940395355,1000,64
47,1.5045930187460457,0.6119140386581421,1.4031608928570776,0.48499998450279236,1000,64
48,1.4690206248247477,0.6148437261581421,1.3926216536963258,0.5149999856948853,1000,64
49,1.4348584658634609,0.6572265625,1.422424857123299,0.48499998450279236,1000,64
50,1.426556489033385,0.6332031488418579,1.4003734463969257,0.5299999713897705,1000,64
51,1.422151359918301,0.6412109136581421,1.4176083380818993,0.5099999904632568,1000,64
52,1.4056340329991794,0.659960925579071,1.426671025227047,0.5049999952316284,1000,64
53,1.4109432544862497,0.6578124761581421,1.3406056534681883,0.5299999713897705,1000,64
54,1.3663263807809076,0.6630859375,1.3874937269153818,0.5099999904632568,1000,64
55,1.3697868789813554,0.671679675579071,1.4558040877481508,0.4749999940395355,1000,64
56,1.3705443530696781,0.675000011920929,1.4290187250392319,0.5099999904632568,1000,64
57,1.3157461490588143,0.6705077886581421,1.409356877499107,0.5049999952316284,1000,64
58,1.344693398437543,0.683398425579071,1.3725199780399786,0.5199999809265137,1000,64
59,1.3331685524948353,0.674609363079071,1.3317010895151749,0.5349999666213989,1000,64
60,1.3319155117385315,0.6644531488418579,1.3479454929158268,0.5249999761581421,1000,64
61,1.3149497545625783,0.689648449420929,1.335548065433886,0.5299999713897705,1000,64
62,1.2553777567088158,0.7349609136581421,1.4032308329294272,0.5199999809265137,1000,64
63,1.2563913745546915,0.7197265625,1.3297141522763731,0.5,1000,64
64,1.286275131292534,0.7027343511581421,1.3568834871893471,0.5249999761581421,1000,64
65,1.2701573285358296,0.6966797113418579,1.3883441848995348,0.5249999761581421,1000,64
66,1.2587279697382305,0.714062511920929,1.3973067550638425,0.5199999809265137,1000,64
67,1.2373251258784796,0.7085937261581421,1.3738515715359563,0.5299999713897705,1000,64
68,1.1840734286173875,0.743359386920929,1.3739027181724606,0.5349999666213989,1000,64
69,1.2458876475917278,0.7074218988418579,1.4000522550534333,0.5299999713897705,1000,64
70,1.2353214645486696,0.736132800579071,1.3239207276510876,0.5349999666213989,1000,64
71,1.1830077456031893,0.7494140863418579,1.367026792724233,0.5450000166893005,1000,64
72,1.1647066302334184,0.7417968511581421,1.3703419133215617,0.5299999713897705,1000,64
73,1.1864055081728495,0.743945300579071,1.3541591651044376,0.5349999666213989,1000,64
74,1.1464025971723828,0.764843761920929,1.3879019712257854,0.5349999666213989,1000,64
75,1.142812594723811,0.755859375,1.3578878458221197,0.5349999666213989,1000,64
76,1.1684557428822484,0.7398437261581421,1.3480466837473486,0.5550000071525574,1000,64
77,1.1343269023027966,0.7613281011581421,1.358814993031509,0.5199999809265137,1000,64
78,1.1187313771572351,0.776171863079071,1.3635027469280916,0.5299999713897705,1000,64
79,1.140231615141584,0.7601562738418579,1.363782585158019,0.5399999618530273,1000,64
80,1.1036499818983914,0.7787109613418579,1.3562525674026684,0.5299999713897705,1000,64
81,1.0986414489689786,0.773242175579071,1.3950291783059834,0.5299999713897705,1000,64
82,1.1197359209359532,0.762890636920929,1.3649186029967402,0.5299999713897705,1000,64
83,1.0918919885023077,0.7662109136581421,1.3838418068196126,0.5149999856948853,1000,64
84,1.0885140414722678,0.7748047113418579,1.375557128173598,0.5349999666213989,1000,64
85,1.0941417074674098,0.7718750238418579,1.3730746360735673,0.5299999713897705,1000,64
86,1.0951268064987425,0.7720702886581421,1.3662058109211233,0.5149999856948853,1000,64
87,1.1157302423035744,0.7582031488418579,1.3682445761840014,0.5149999856948853,1000,64
88,1.069024455074087,0.7826172113418579,1.3804406497269144,0.5349999666213989,1000,64
89,1.1141200066556032,0.766796886920929,1.3722012544095095,0.5199999809265137,1000,64
90,1.1126774930551013,0.764843761920929,1.3681832023380271,0.5299999713897705,1000,64
91,1.0794997936121415,0.774609386920929,1.365897360954031,0.5199999809265137,1000,64
92,1.0941298317073995,0.7685546875,1.3698582157936756,0.5149999856948853,1000,64
93,1.067390693477638,0.7855468988418579,1.3722541392107985,0.5299999713897705,1000,64
94,1.0788277388154481,0.77734375,1.3678750441967742,0.5249999761581421,1000,64
95,1.0786538343743428,0.7933593988418579,1.362874954494505,0.5199999809265137,1000,64
96,1.06446574659133,0.7757812738418579,1.3614269947774533,0.5299999713897705,1000,64
97,1.0890937522938255,0.7935546636581421,1.362394624844374,0.5299999713897705,1000,64
98,1.0770376890766562,0.783203125,1.3643212033058834,0.5349999666213989,1000,64
99,1.0835774207262086,0.7945312261581421,1.3657746938612845,0.5349999666213989,1000,64
100,1.1142789239101853,0.759960949420929,1.360411900674828,0.5450000166893005,1000,64
