Epoch 44/100 | Train Loss: 1.0100 | Train Acc: 0.7549 | Test Loss: 0.7207 | Test Acc: 0.7631 | Time: 465.96 seconds
Epoch 45/100 | Train Loss: 1.0041 | Train Acc: 0.7566 | Test Loss: 0.7250 | Test Acc: 0.7639 | Time: 469.53 seconds
Epoch 46/100 | Train Loss: 0.9967 | Train Acc: 0.7585 | Test Loss: 0.7207 | Test Acc: 0.7642 | Time: 469.30 seconds
Epoch 47/100 | Train Loss: 0.9908 | Train Acc: 0.7591 | Test Loss: 0.7180 | Test Acc: 0.7668 | Time: 466.57 seconds
Epoch 48/100 | Train Loss: 0.9846 | Train Acc: 0.7627 | Test Loss: 0.7138 | Test Acc: 0.7711 | Time: 463.70 seconds
Epoch 49/100 | Train Loss: 0.9817 | Train Acc: 0.7627 | Test Loss: 0.7272 | Test Acc: 0.7634 | Time: 500.70 seconds
Epoch 50/100 | Train Loss: 0.9724 | Train Acc: 0.7657 | Test Loss: 0.7070 | Test Acc: 0.7675 | Time: 495.85 seconds
Epoch 51/100 | Train Loss: 0.9709 | Train Acc: 0.7669 | Test Loss: 0.6992 | Test Acc: 0.7716 | Time: 475.25 seconds
Epoch 52/100 | Train Loss: 0.9605 | Train Acc: 0.7711 | Test Loss: 0.6957 | Test Acc: 0.7689 | Time: 471.69 seconds
Epoch 53/100 | Train Loss: 0.9605 | Train Acc: 0.7716 | Test Loss: 0.6924 | Test Acc: 0.7720 | Time: 470.52 seconds
Epoch 54/100 | Train Loss: 0.9582 | Train Acc: 0.7686 | Test Loss: 0.6797 | Test Acc: 0.7755 | Time: 472.42 seconds
Epoch 55/100 | Train Loss: 0.9448 | Train Acc: 0.7736 | Test Loss: 0.7008 | Test Acc: 0.7728 | Time: 481.13 seconds
Epoch 56/100 | Train Loss: 0.9428 | Train Acc: 0.7765 | Test Loss: 0.6873 | Test Acc: 0.7759 | Time: 482.62 seconds
Epoch 57/100 | Train Loss: 0.9388 | Train Acc: 0.7776 | Test Loss: 0.6842 | Test Acc: 0.7763 | Time: 481.48 seconds
Epoch 58/100 | Train Loss: 0.9331 | Train Acc: 0.7769 | Test Loss: 0.6831 | Test Acc: 0.7805 | Time: 480.92 seconds
Epoch 59/100 | Train Loss: 0.9271 | Train Acc: 0.7811 | Test Loss: 0.6769 | Test Acc: 0.7822 | Time: 480.12 seconds
Epoch 60/100 | Train Loss: 0.9244 | Train Acc: 0.7802 | Test Loss: 0.6780 | Test Acc: 0.7810 | Time: 473.02 seconds
Epoch 61/100 | Train Loss: 0.9163 | Train Acc: 0.7840 | Test Loss: 0.6738 | Test Acc: 0.7838 | Time: 481.36 seconds
Epoch 62/100 | Train Loss: 0.9104 | Train Acc: 0.7847 | Test Loss: 0.6962 | Test Acc: 0.7758 | Time: 477.67 seconds
Epoch 63/100 | Train Loss: 0.9083 | Train Acc: 0.7836 | Test Loss: 0.6708 | Test Acc: 0.7844 | Time: 461.86 seconds
Epoch 64/100 | Train Loss: 0.9042 | Train Acc: 0.7897 | Test Loss: 0.6732 | Test Acc: 0.7825 | Time: 467.76 seconds
