
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7462, Train Acc: 0.3375, Test Loss: 0.6260, Test Acc: 0.7200, Epoch time: 10.234954 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6312, Train Acc: 0.7500, Test Loss: 0.5304, Test Acc: 0.9000, Epoch time: 11.127586 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.5313, Train Acc: 0.9000, Test Loss: 0.4484, Test Acc: 0.9200, Epoch time: 11.453270 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.4459, Train Acc: 0.9625, Test Loss: 0.3791, Test Acc: 0.9600, Epoch time: 11.959106 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.3740, Train Acc: 0.9875, Test Loss: 0.3210, Test Acc: 0.9800, Epoch time: 11.869947 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3139, Train Acc: 1.0000, Test Loss: 0.2728, Test Acc: 0.9900, Epoch time: 12.171052 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2642, Train Acc: 1.0000, Test Loss: 0.2328, Test Acc: 0.9900, Epoch time: 11.860411 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2232, Train Acc: 1.0000, Test Loss: 0.1997, Test Acc: 0.9900, Epoch time: 11.784098 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.1895, Train Acc: 1.0000, Test Loss: 0.1724, Test Acc: 0.9900, Epoch time: 12.743114 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1618, Train Acc: 1.0000, Test Loss: 0.1497, Test Acc: 0.9900, Epoch time: 11.881555 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1389, Train Acc: 1.0000, Test Loss: 0.1309, Test Acc: 0.9900, Epoch time: 12.042595 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1200, Train Acc: 1.0000, Test Loss: 0.1152, Test Acc: 1.0000, Epoch time: 12.045987 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1044, Train Acc: 1.0000, Test Loss: 0.1020, Test Acc: 1.0000, Epoch time: 12.131852 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0914, Train Acc: 1.0000, Test Loss: 0.0910, Test Acc: 1.0000, Epoch time: 12.185278 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0805, Train Acc: 1.0000, Test Loss: 0.0816, Test Acc: 1.0000, Epoch time: 12.472789 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0714, Train Acc: 1.0000, Test Loss: 0.0737, Test Acc: 1.0000, Epoch time: 12.198889 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0636, Train Acc: 1.0000, Test Loss: 0.0669, Test Acc: 1.0000, Epoch time: 12.221560 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0571, Train Acc: 1.0000, Test Loss: 0.0611, Test Acc: 1.0000, Epoch time: 12.310879 seconds
