
=== Starting training for train size 10 ===

Starting repetition 1/1 for train size 10
[1. 0. 0. 0. 1. 1. 0. 0. 0. 0.]
Train Size: 10, Epoch: 1/100, Train Loss: 0.6885, Train Acc: 0.4000, Test Loss: 0.6500, Test Acc: 0.5800, Epoch time: 5.581605 seconds
Train Size: 10, Epoch: 2/100, Train Loss: 0.5556, Train Acc: 0.7000, Test Loss: 0.5986, Test Acc: 0.5700, Epoch time: 5.642940 seconds
Train Size: 10, Epoch: 3/100, Train Loss: 0.4625, Train Acc: 0.7000, Test Loss: 0.5573, Test Acc: 0.5800, Epoch time: 5.612041 seconds
Train Size: 10, Epoch: 4/100, Train Loss: 0.3954, Train Acc: 0.7000, Test Loss: 0.5141, Test Acc: 0.6300, Epoch time: 5.606062 seconds
Train Size: 10, Epoch: 5/100, Train Loss: 0.3409, Train Acc: 0.9000, Test Loss: 0.4643, Test Acc: 0.6600, Epoch time: 5.735045 seconds
Train Size: 10, Epoch: 6/100, Train Loss: 0.2917, Train Acc: 0.9000, Test Loss: 0.4097, Test Acc: 0.7700, Epoch time: 5.948976 seconds
Train Size: 10, Epoch: 7/100, Train Loss: 0.2463, Train Acc: 1.0000, Test Loss: 0.3547, Test Acc: 0.8400, Epoch time: 5.710031 seconds
Train Size: 10, Epoch: 8/100, Train Loss: 0.2056, Train Acc: 1.0000, Test Loss: 0.3033, Test Acc: 0.9100, Epoch time: 5.774639 seconds
Train Size: 10, Epoch: 9/100, Train Loss: 0.1709, Train Acc: 1.0000, Test Loss: 0.2582, Test Acc: 0.9300, Epoch time: 5.691473 seconds
Train Size: 10, Epoch: 10/100, Train Loss: 0.1426, Train Acc: 1.0000, Test Loss: 0.2204, Test Acc: 0.9500, Epoch time: 5.739260 seconds
Train Size: 10, Epoch: 11/100, Train Loss: 0.1203, Train Acc: 1.0000, Test Loss: 0.1900, Test Acc: 0.9600, Epoch time: 5.799071 seconds
Train Size: 10, Epoch: 12/100, Train Loss: 0.1028, Train Acc: 1.0000, Test Loss: 0.1660, Test Acc: 0.9600, Epoch time: 5.787600 seconds
Train Size: 10, Epoch: 13/100, Train Loss: 0.0889, Train Acc: 1.0000, Test Loss: 0.1474, Test Acc: 0.9900, Epoch time: 5.733332 seconds
Train Size: 10, Epoch: 14/100, Train Loss: 0.0773, Train Acc: 1.0000, Test Loss: 0.1332, Test Acc: 0.9900, Epoch time: 5.762206 seconds
Train Size: 10, Epoch: 15/100, Train Loss: 0.0674, Train Acc: 1.0000, Test Loss: 0.1223, Test Acc: 0.9900, Epoch time: 6.090130 seconds
Train Size: 10, Epoch: 16/100, Train Loss: 0.0588, Train Acc: 1.0000, Test Loss: 0.1142, Test Acc: 0.9900, Epoch time: 5.625768 seconds
Train Size: 10, Epoch: 17/100, Train Loss: 0.0511, Train Acc: 1.0000, Test Loss: 0.1082, Test Acc: 0.9900, Epoch time: 5.744916 seconds
