
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.6852, Train Acc: 0.5500, Test Loss: 0.6650, Test Acc: 0.6000, Epoch time: 19.180430 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6724, Train Acc: 0.5500, Test Loss: 0.6507, Test Acc: 0.6000, Epoch time: 22.730992 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6604, Train Acc: 0.5500, Test Loss: 0.6378, Test Acc: 0.6000, Epoch time: 22.845139 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6489, Train Acc: 0.5500, Test Loss: 0.6258, Test Acc: 0.6000, Epoch time: 23.416674 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6372, Train Acc: 0.5500, Test Loss: 0.6143, Test Acc: 0.6000, Epoch time: 23.725644 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.6255, Train Acc: 0.5625, Test Loss: 0.6032, Test Acc: 0.7200, Epoch time: 22.243454 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.6138, Train Acc: 0.7250, Test Loss: 0.5923, Test Acc: 0.8300, Epoch time: 21.942878 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.6021, Train Acc: 0.7875, Test Loss: 0.5811, Test Acc: 0.9400, Epoch time: 23.834355 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.5904, Train Acc: 0.8500, Test Loss: 0.5692, Test Acc: 0.9700, Epoch time: 26.030260 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.5786, Train Acc: 0.9125, Test Loss: 0.5565, Test Acc: 0.9800, Epoch time: 23.161290 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.5666, Train Acc: 0.9375, Test Loss: 0.5432, Test Acc: 0.9700, Epoch time: 23.334673 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.5544, Train Acc: 0.9375, Test Loss: 0.5297, Test Acc: 0.9700, Epoch time: 23.709352 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.5422, Train Acc: 0.9250, Test Loss: 0.5164, Test Acc: 0.9700, Epoch time: 23.945300 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.5300, Train Acc: 0.9250, Test Loss: 0.5035, Test Acc: 0.9700, Epoch time: 24.265372 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.5177, Train Acc: 0.9375, Test Loss: 0.4911, Test Acc: 1.0000, Epoch time: 25.563416 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.5052, Train Acc: 0.9500, Test Loss: 0.4790, Test Acc: 1.0000, Epoch time: 25.741577 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.4927, Train Acc: 0.9625, Test Loss: 0.4671, Test Acc: 1.0000, Epoch time: 23.567915 seconds
