status,train_acc,train_cost,test_acc,test_cost,step
new,0.0,0.7825737595558167,0.6000000238418579,0.6938056945800781,1
new,0.6000000238418579,0.693235456943512,0.6299999952316284,0.6679477691650391,2
new,0.800000011920929,0.6166794300079346,0.5600000023841858,0.6501200795173645,3
new,0.800000011920929,0.5527056455612183,0.5199999809265137,0.6392084360122681,4
new,0.800000011920929,0.5004984736442566,0.5099999904632568,0.6336420178413391,5
new,0.800000011920929,0.458672434091568,0.5099999904632568,0.6312593221664429,6
new,0.800000011920929,0.4253489375114441,0.5099999904632568,0.629920482635498,7
new,0.800000011920929,0.39844265580177307,0.5099999904632568,0.6278917193412781,8
new,0.800000011920929,0.37601932883262634,0.5099999904632568,0.6238511204719543,9
new,0.800000011920929,0.3564601540565491,0.5099999904632568,0.61691814661026,10
new,0.800000011920929,0.33853092789649963,0.5099999904632568,0.6066362261772156,11
new,0.800000011920929,0.3213810324668884,0.5099999904632568,0.5929050445556641,12
new,0.800000011920929,0.30449098348617554,0.5099999904632568,0.5758983492851257,13
new,0.800000011920929,0.2876054346561432,0.5099999904632568,0.5559886693954468,14
new,0.800000011920929,0.2706673741340637,0.5099999904632568,0.5336828231811523,15
new,0.800000011920929,0.2537597119808197,0.5600000023841858,0.5095686316490173,16
new,0.800000011920929,0.237055703997612,0.6100000143051147,0.48427048325538635,17
new,0.800000011920929,0.2207760363817215,0.6600000262260437,0.45841217041015625,18
new,1.0,0.20515325665473938,0.699999988079071,0.4325851798057556,19
new,1.0,0.1904013752937317,0.7400000095367432,0.4073220193386078,20
new,1.0,0.17669296264648438,0.8299999833106995,0.3830757141113281,21
new,1.0,0.16414299607276917,0.8799999952316284,0.36020609736442566,22
new,1.0,0.15280163288116455,0.8999999761581421,0.3389733135700226,23
new,1.0,0.14265473186969757,0.8999999761581421,0.31953924894332886,24
new,1.0,0.13363246619701385,0.9200000166893005,0.30197593569755554,25
new,1.0,0.1256229132413864,0.9399999976158142,0.28627943992614746,26
new,1.0,0.11848849058151245,0.9399999976158142,0.27238720655441284,27
new,1.0,0.11208267509937286,0.9399999976158142,0.2601960301399231,28
new,1.0,0.1062646359205246,0.9399999976158142,0.24957887828350067,29
new,1.0,0.10091006755828857,0.9399999976158142,0.24039863049983978,30
new,1.0,0.0959177240729332,0.9399999976158142,0.23251838982105255,31
new,1.0,0.09121153503656387,0.9399999976158142,0.22580744326114655,32
new,1.0,0.08673930168151855,0.9399999976158142,0.22014495730400085,33
new,1.0,0.08246966451406479,0.9399999976158142,0.21542076766490936,34
new,1.0,0.07838715612888336,0.9399999976158142,0.21153444051742554,35
new,1.0,0.07448743283748627,0.9399999976158142,0.20839425921440125,36
new,1.0,0.07077287882566452,0.9399999976158142,0.2059151977300644,37
new,1.0,0.06724883615970612,0.9399999976158142,0.20401757955551147,38
new,1.0,0.0639207735657692,0.9399999976158142,0.20262566208839417,39
new,1.0,0.06079249456524849,0.9399999976158142,0.20166708528995514,40
new,1.0,0.05786491557955742,0.9399999976158142,0.20107240974903107,41
new,1.0,0.05513571947813034,0.9399999976158142,0.2007751613855362,42
new,1.0,0.05259944871068001,0.9399999976158142,0.20071211457252502,43
new,1.0,0.05024778097867966,0.9399999976158142,0.20082370936870575,44
new,1.0,0.04807022586464882,0.9399999976158142,0.20105469226837158,45
new,1.0,0.04605471342802048,0.9399999976158142,0.2013547718524933,46
new,1.0,0.04418826848268509,0.9399999976158142,0.20167863368988037,47
new,1.0,0.042457617819309235,0.9399999976158142,0.20198701322078705,48
new,1.0,0.04084966704249382,0.9399999976158142,0.20224636793136597,49
new,1.0,0.03935183212161064,0.9399999976158142,0.20242929458618164,50
new,1.0,0.03795255348086357,0.9399999976158142,0.20251445472240448,51
new,1.0,0.0366411916911602,0.9399999976158142,0.2024863064289093,52
new,1.0,0.03540831059217453,0.9399999976158142,0.20233479142189026,53
new,1.0,0.03424570709466934,0.9399999976158142,0.2020549774169922,54
new,1.0,0.03314623609185219,0.9399999976158142,0.20164644718170166,55
new,1.0,0.03210392966866493,0.9399999976158142,0.20111270248889923,56
new,1.0,0.03111368417739868,0.9399999976158142,0.20046073198318481,57
new,1.0,0.03017127886414528,0.9399999976158142,0.19970008730888367,58
new,1.0,0.029273265972733498,0.9399999976158142,0.19884243607521057,59
new,1.0,0.028416622430086136,0.9399999976158142,0.19790081679821014,60
new,1.0,0.027598878368735313,0.9399999976158142,0.19688919186592102,61
new,1.0,0.026817861944437027,0.9399999976158142,0.19582203030586243,62
new,1.0,0.026071671396493912,0.9399999976158142,0.19471365213394165,63
new,1.0,0.0253585334867239,0.9399999976158142,0.1935781091451645,64
new,1.0,0.02467689849436283,0.9399999976158142,0.19242864847183228,65
new,1.0,0.024025171995162964,0.9399999976158142,0.19127759337425232,66
new,1.0,0.02340184897184372,0.9399999976158142,0.19013628363609314,67
new,1.0,0.022805500775575638,0.9399999976158142,0.18901482224464417,68
new,1.0,0.022234665229916573,0.9399999976158142,0.18792200088500977,69
new,1.0,0.02168792486190796,0.9399999976158142,0.18686546385288239,70
new,1.0,0.02116388827562332,0.9399999976158142,0.18585139513015747,71
new,1.0,0.020661206915974617,0.9399999976158142,0.18488506972789764,72
new,1.0,0.020178580656647682,0.9399999976158142,0.1839703619480133,73
new,1.0,0.019714731723070145,0.9399999976158142,0.18311016261577606,74
