Using device: cpu

=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.6964, Train Acc: 0.4000, Test Loss: 0.6884, Test Acc: 0.5700, Epoch time: 7.354840 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.6814, Train Acc: 0.8000, Test Loss: 0.6805, Test Acc: 0.7400, Epoch time: 6.998925 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.6673, Train Acc: 0.8000, Test Loss: 0.6733, Test Acc: 0.6200, Epoch time: 7.274734 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.6541, Train Acc: 0.8000, Test Loss: 0.6667, Test Acc: 0.5200, Epoch time: 7.404820 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.6416, Train Acc: 0.6000, Test Loss: 0.6606, Test Acc: 0.4700, Epoch time: 7.913388 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.6299, Train Acc: 0.6000, Test Loss: 0.6549, Test Acc: 0.4700, Epoch time: 7.125486 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.6189, Train Acc: 0.6000, Test Loss: 0.6496, Test Acc: 0.4700, Epoch time: 7.064732 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.6086, Train Acc: 0.6000, Test Loss: 0.6444, Test Acc: 0.4700, Epoch time: 7.072356 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.5988, Train Acc: 0.6000, Test Loss: 0.6393, Test Acc: 0.4700, Epoch time: 7.085690 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.5895, Train Acc: 0.6000, Test Loss: 0.6341, Test Acc: 0.4700, Epoch time: 7.098338 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.5806, Train Acc: 0.6000, Test Loss: 0.6287, Test Acc: 0.4700, Epoch time: 7.086049 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.5720, Train Acc: 0.6000, Test Loss: 0.6229, Test Acc: 0.4800, Epoch time: 7.072787 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.5636, Train Acc: 0.6000, Test Loss: 0.6167, Test Acc: 0.4800, Epoch time: 7.083207 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.5554, Train Acc: 0.6000, Test Loss: 0.6100, Test Acc: 0.5000, Epoch time: 7.149602 seconds
