
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7028, Train Acc: 0.5000, Test Loss: 0.6868, Test Acc: 0.5200, Epoch time: 24.189456 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6911, Train Acc: 0.5125, Test Loss: 0.6773, Test Acc: 0.5200, Epoch time: 24.933962 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6797, Train Acc: 0.5250, Test Loss: 0.6706, Test Acc: 0.5100, Epoch time: 24.790415 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6713, Train Acc: 0.5125, Test Loss: 0.6614, Test Acc: 0.5200, Epoch time: 26.360792 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6611, Train Acc: 0.5500, Test Loss: 0.6543, Test Acc: 0.5300, Epoch time: 26.799747 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.6530, Train Acc: 0.5625, Test Loss: 0.6464, Test Acc: 0.6900, Epoch time: 25.928375 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.6438, Train Acc: 0.7500, Test Loss: 0.6411, Test Acc: 0.7800, Epoch time: 27.209857 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.6368, Train Acc: 0.8000, Test Loss: 0.6316, Test Acc: 0.8000, Epoch time: 26.708865 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.6280, Train Acc: 0.9000, Test Loss: 0.6196, Test Acc: 0.8800, Epoch time: 26.502868 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.6197, Train Acc: 0.8500, Test Loss: 0.6158, Test Acc: 0.9100, Epoch time: 27.081116 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.6113, Train Acc: 0.9125, Test Loss: 0.6066, Test Acc: 0.9300, Epoch time: 32.486473 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.6069, Train Acc: 0.9125, Test Loss: 0.5982, Test Acc: 0.9600, Epoch time: 31.345417 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.5952, Train Acc: 0.9750, Test Loss: 0.5918, Test Acc: 0.9600, Epoch time: 30.235715 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.5860, Train Acc: 0.9625, Test Loss: 0.5837, Test Acc: 0.9800, Epoch time: 29.343074 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.5784, Train Acc: 0.9750, Test Loss: 0.5784, Test Acc: 0.9800, Epoch time: 29.406126 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.5740, Train Acc: 0.9750, Test Loss: 0.5677, Test Acc: 0.9900, Epoch time: 28.443057 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.5660, Train Acc: 0.9750, Test Loss: 0.5604, Test Acc: 0.9900, Epoch time: 27.021262 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.5585, Train Acc: 0.9875, Test Loss: 0.5544, Test Acc: 0.9900, Epoch time: 28.689768 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.5505, Train Acc: 0.9875, Test Loss: 0.5475, Test Acc: 1.0000, Epoch time: 28.524774 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.5461, Train Acc: 0.9750, Test Loss: 0.5408, Test Acc: 0.9800, Epoch time: 25.902982 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.5388, Train Acc: 0.9875, Test Loss: 0.5365, Test Acc: 0.9800, Epoch time: 26.279587 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.5284, Train Acc: 0.9875, Test Loss: 0.5225, Test Acc: 0.9900, Epoch time: 25.642173 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.5200, Train Acc: 0.9875, Test Loss: 0.5143, Test Acc: 0.9900, Epoch time: 28.312054 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.5213, Train Acc: 0.9750, Test Loss: 0.5103, Test Acc: 0.9900, Epoch time: 27.472175 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.5145, Train Acc: 0.9625, Test Loss: 0.5054, Test Acc: 0.9900, Epoch time: 25.320032 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.5068, Train Acc: 0.9750, Test Loss: 0.5048, Test Acc: 0.9900, Epoch time: 23.980465 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.4973, Train Acc: 0.9750, Test Loss: 0.4941, Test Acc: 0.9800, Epoch time: 25.310026 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.4829, Train Acc: 0.9750, Test Loss: 0.4963, Test Acc: 0.9900, Epoch time: 24.009663 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.4845, Train Acc: 1.0000, Test Loss: 0.4847, Test Acc: 0.9900, Epoch time: 24.069015 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.4809, Train Acc: 1.0000, Test Loss: 0.4776, Test Acc: 0.9800, Epoch time: 24.028198 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.4730, Train Acc: 0.9750, Test Loss: 0.4762, Test Acc: 0.9700, Epoch time: 24.431406 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.4676, Train Acc: 0.9750, Test Loss: 0.4736, Test Acc: 0.9600, Epoch time: 25.414681 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.4580, Train Acc: 0.9875, Test Loss: 0.4598, Test Acc: 0.9900, Epoch time: 23.957721 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.4709, Train Acc: 0.9875, Test Loss: 0.4495, Test Acc: 0.9900, Epoch time: 24.069484 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.4476, Train Acc: 0.9875, Test Loss: 0.4452, Test Acc: 1.0000, Epoch time: 25.170829 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.4497, Train Acc: 1.0000, Test Loss: 0.4457, Test Acc: 1.0000, Epoch time: 24.888346 seconds
