step,train_cost,train_acc,test_cost,test_acc,n_train
17,0.4226,0.855,0.3573,0.8725,2000
18,0.4011,0.8628,0.3352,0.88,2000
19,0.3996,0.8633,0.3751,0.8825,2000
20,0.3971,0.8618,0.3103,0.875,2000
21,0.3822,0.8745,0.2936,0.905,2000
22,0.3555,0.8789,0.302,0.8875,2000
23,0.3475,0.8838,0.3297,0.89,2000
24,0.365,0.8853,0.3134,0.88,2000
25,0.3349,0.8779,0.3337,0.8975,2000
26,0.3476,0.8828,0.3082,0.9025,2000
27,0.3094,0.895,0.2715,0.8975,2000
28,0.3259,0.8882,0.297,0.8975,2000
29,0.327,0.8853,0.2735,0.9125,2000
30,0.2893,0.9033,0.2374,0.9175,2000
31,0.2758,0.9028,0.2659,0.9125,2000
32,0.3042,0.8882,0.2445,0.9175,2000
33,0.3103,0.8911,0.261,0.9075,2000
34,0.3236,0.8877,0.2511,0.92,2000
35,0.2831,0.8989,0.2841,0.8975,2000
36,0.2996,0.8984,0.2474,0.915,2000
37,0.3042,0.8955,0.2608,0.915,2000
38,0.2903,0.897,0.2148,0.925,2000
39,0.2751,0.9092,0.2553,0.905,2000
40,0.2838,0.9014,0.2711,0.9075,2000
41,0.2697,0.9116,0.2584,0.905,2000
42,0.2582,0.9121,0.241,0.9125,2000
43,0.2419,0.9155,0.2272,0.9125,2000
44,0.2409,0.9204,0.2318,0.92,2000
45,0.2467,0.9111,0.2209,0.93,2000
46,0.2462,0.9111,0.2401,0.935,2000
47,0.2587,0.9048,0.2471,0.9225,2000
48,0.2463,0.9077,0.2402,0.92,2000
49,0.2321,0.9224,0.2354,0.9175,2000
50,0.2447,0.9146,0.2023,0.93,2000
51,0.2259,0.9199,0.2266,0.9225,2000
52,0.2412,0.9121,0.2344,0.9125,2000
53,0.2324,0.9189,0.2195,0.9375,2000
54,0.2409,0.9204,0.2178,0.925,2000
55,0.2447,0.916,0.2328,0.915,2000
56,0.1956,0.9316,0.2324,0.925,2000
57,0.2273,0.9155,0.2116,0.9325,2000
58,0.2182,0.9194,0.1998,0.9325,2000
59,0.2052,0.9282,0.2127,0.925,2000
60,0.2427,0.9209,0.2301,0.92,2000
61,0.2049,0.9292,0.2211,0.925,2000
62,0.202,0.9277,0.2098,0.9325,2000
63,0.2022,0.9297,0.2209,0.925,2000
64,0.2176,0.9219,0.2265,0.925,2000
65,0.1942,0.9316,0.2105,0.925,2000
66,0.176,0.9395,0.2062,0.925,2000
67,0.2042,0.9297,0.2076,0.92,2000
68,0.2121,0.9229,0.2206,0.92,2000
69,0.2034,0.9272,0.2025,0.925,2000
70,0.188,0.9312,0.199,0.93,2000
71,0.1816,0.9355,0.2071,0.925,2000
72,0.1893,0.9287,0.2026,0.93,2000
73,0.194,0.936,0.1982,0.9375,2000
74,0.1707,0.9443,0.1927,0.93,2000
75,0.1771,0.9395,0.2001,0.94,2000
76,0.1742,0.9414,0.1939,0.9325,2000
77,0.1781,0.9463,0.1999,0.935,2000
78,0.1848,0.9414,0.1902,0.9375,2000
79,0.1731,0.9365,0.1934,0.93,2000
80,0.1771,0.9414,0.1998,0.9375,2000
81,0.1573,0.9463,0.1835,0.9325,2000
82,0.1805,0.936,0.1917,0.93,2000
