status,train_acc,train_cost,test_acc,test_cost,step
norm,0.7375,0.6803011663347684,0.71,0.9516381218182832,1
norm,0.8,0.6249072518959279,0.71,0.8987314783299545,2
norm,0.8125,0.5731929430424563,0.71999997,0.8467737234536561,3
norm,0.8125,0.5251039724245183,0.71999997,0.7966469376790624,4
norm,0.825,0.4806021237107482,0.74,0.7487141833840479,5
norm,0.8625,0.4396175818708626,0.76,0.703170469268712,6
norm,0.8625,0.4020486104551986,0.77,0.6601088026972772,7
norm,0.90000004,0.36775716899888106,0.78,0.6195591672625295,8
norm,0.9125,0.33656905717113883,0.79999995,0.5815224450135996,9
norm,0.9125,0.3082796264831534,0.83,0.5459821198149006,10
norm,0.9125,0.28266372420254104,0.84999996,0.5128988895347238,11
norm,0.925,0.2594873618279846,0.85999995,0.48220005798890636,12
norm,0.925,0.23851849550211407,0.85999995,0.4537757818023577,13
norm,0.925,0.21953553917601296,0.87,0.42748844444779155,14
norm,0.9375,0.20233298187680804,0.88,0.40318761190526653,15
norm,0.96250004,0.18672418030837268,0.89,0.38072133737233127,16
norm,0.96250004,0.17254218695257198,0.89,0.35994266308121353,17
norm,0.96250004,0.15963938868719174,0.89,0.3407132825672381,18
norm,0.96250004,0.14788622405251556,0.90999997,0.3229055668508305,19
norm,0.96250004,0.13716904931562798,0.91999996,0.306403448680158,20
norm,0.96250004,0.1273873592839623,0.93,0.2911024500462803,21
norm,0.975,0.11845080104858184,0.93,0.2769090722033157,22
norm,0.975,0.11027653407899485,0.93,0.26373973092265973,23
norm,0.9875,0.10278738406428961,0.93,0.2515194153158414,24
norm,0.9875,0.09591095308929504,0.93,0.24018026388692584,25
norm,0.9875,0.08957953792977423,0.93,0.229660250216824,26
norm,0.9875,0.08373052454087071,0.93,0.21990212539406265,27
norm,0.9875,0.07830692179806364,0.93,0.21085267872921087,28
norm,0.9875,0.07325781113829484,0.93,0.20246228211860232,29
norm,0.9875,0.06853862137669367,0.93,0.19468461041630222,30
norm,0.9875,0.0641112245456634,0.93,0.1874764000604038,31
norm,0.9875,0.05994387876551082,0.94,0.18079712183541516,32
norm,0.9875,0.05601103900599555,0.94,0.17460848831422496,33
norm,0.9875,0.052293039481268705,0.95,0.16887377529625028,34
norm,0.9875,0.04877563498796923,0.95,0.16355699701947812,35
norm,0.9875,0.04544937719065128,0.95,0.1586220331506024,36
norm,0.9875,0.042308799434402126,0.95,0.1540318631559046,37
norm,0.9875,0.03935139747125982,0.94,0.14974811821878176,38
norm,0.9875,0.03657643227805753,0.94,0.14573119333534812,39
norm,0.9875,0.03398364648738738,0.94,0.1419411304478374,40
norm,0.9875,0.03157206074961176,0.94,0.13833933940139032,41
norm,0.9875,0.02933906047510696,0.94,0.1348909636171423,42
norm,0.9875,0.027279950771450834,0.94,0.13156741120102525,43
norm,0.9875,0.025388034570937013,0.94,0.1283484138532875,44
norm,0.9875,0.023655103283971857,0.94,0.12522305022152513,45
norm,0.9875,0.02207210679558167,0.94,0.12218944867514023,46
norm,1.0,0.020629753091245786,0.94,0.11925323838853533,47
norm,1.0,0.0193188740886851,0.95,0.1164251117225701,48
norm,1.0,0.018130525478819715,0.95,0.11371801484612608,49
norm,1.0,0.017055897138057163,0.95,0.11114448418198077,50
norm,1.0,0.0160861586268483,0.96,0.10871452979217452,51
norm,1.0,0.015212351842806837,0.96,0.10643429040604328,52
norm,1.0,0.014425394802317576,0.96999997,0.10430550248253598,53
norm,1.0,0.013716205506883085,0.96999997,0.1023256760837088,54
norm,1.0,0.013075912783314306,0.96999997,0.10048877455121448,55
norm,1.0,0.012496100014628534,0.96999997,0.09878615920724498,56
norm,1.0,0.011969027014986281,0.96999997,0.09720757851876002,57
norm,1.0,0.011487789183235779,0.96999997,0.0957420376786009,58
norm,1.0,0.011046393900812808,0.96999997,0.09437845811883179,59
norm,1.0,0.010639754781766105,0.96999997,0.09310610630682031,60
norm,1.0,0.010263619783111525,0.96999997,0.09191482270270587,61
norm,1.0,0.009914457150036811,0.96999997,0.09079510923379198,62
norm,1.0,0.009589324108359663,0.96999997,0.08973813905796309,63
norm,1.0,0.009285739129850435,0.96999997,0.08873574220144619,64
norm,1.0,0.009001571951513104,0.96999997,0.08778040245428882,65
norm,1.0,0.008734958454061076,0.96999997,0.08686528120976802,66
norm,1.0,0.0084842414338889,0.96999997,0.08598426725428646,67
norm,1.0,0.008247933968954622,0.96999997,0.08513204026966197,68
norm,1.0,0.008024699656841458,0.96999997,0.0843041306476206,69
norm,1.0,0.007813343293310376,0.96999997,0.08349695848300344,70
norm,1.0,0.007612806151124953,0.96999997,0.08270783884532472,71
norm,1.0,0.0074221614188771075,0.96999997,0.08193494682322712,72
norm,1.0,0.007240607090063689,0.96999997,0.08117724264829747,73
norm,1.0,0.007067455259470586,0.96999997,0.08043436304685442,74
norm,1.0,0.006902118116415269,0.96999997,0.0797064889759677,75
norm,1.0,0.006744091787242998,0.96999997,0.0789942017566499,76
norm,1.0,0.006592939558705709,0.96999997,0.07829833946878091,77
norm,1.0,0.006448275985059393,0.96999997,0.0776198637753474,78
norm,1.0,0.006309753070382729,0.96999997,0.07695974469699733,79
norm,1.0,0.006177049261607235,0.96999997,0.07631886785809378,80
norm,1.0,0.0060498615087172004,0.96999997,0.07569796586569363,81
norm,1.0,0.005927900235412273,0.96999997,0.07509757310238692,82
norm,1.0,0.005810886767073225,0.96999997,0.07451800148937698,83
norm,1.0,0.005698552599269395,0.96999997,0.07395933374288123,84
norm,1.0,0.005590639849017385,0.96999997,0.07342143023603125,85
norm,1.0,0.005486902285897884,0.96999997,0.07290394565847351,86
norm,1.0,0.005387106457358667,0.96999997,0.07240635208055,87
norm,1.0,0.0052910325689142414,0.96999997,0.07192796562664311,88
norm,1.0,0.005198474927673707,0.96999997,0.0714679746153972,89
norm,1.0,0.005109241886672181,0.96999997,0.07102546763930731,90
norm,1.0,0.005023155326161656,0.96999997,0.07059946057455542,91
norm,1.0,0.004940049772103959,0.96999997,0.07018892190804774,92
norm,1.0,0.004859771283201685,0.96999997,0.06979279604165745,93
norm,1.0,0.0047821762413621065,0.96999997,0.06941002440011486,94
norm,1.0,0.004707130164001929,0.96999997,0.06903956425448181,95
norm,1.0,0.004634506627988307,0.96999997,0.0686804052060482,96
norm,1.0,0.004564186361498016,0.96999997,0.06833158328188045,97
norm,1.0,0.004496056527464705,0.96999997,0.06799219259394029,98
norm,1.0,0.004430010194631645,0.96999997,0.0676613945227406,99
norm,1.0,0.0043659459718343235,0.96999997,0.06733842441116313,100
norm,0.675,1.0605433261243051,0.69,1.2025607148297635,1
norm,0.75,0.9691484402533956,0.71,1.1473526445972049,2
norm,0.7625,0.893309688042268,0.71999997,1.0966537031625836,3
norm,0.7625,0.8294606887065928,0.72999996,1.0496700331146462,4
norm,0.7875,0.7745998764089901,0.74,1.0049969340937432,5
norm,0.8,0.7260336260119895,0.77,0.9613941585333184,6
norm,0.825,0.6816816394850198,0.78999996,0.9181410795526738,7
norm,0.825,0.6402533079073471,0.78999996,0.8749914106343573,8
norm,0.825,0.6010977707888165,0.79999995,0.8320162834369714,9
norm,0.83750004,0.5639830364697123,0.79999995,0.7894654682074052,10
norm,0.875,0.5289128636649029,0.82,0.7476685087065943,11
norm,0.90000004,0.4959910460861867,0.82,0.7069678519989907,12
norm,0.9125,0.46532546527283486,0.83,0.6676746126235341,13
norm,0.9125,0.4369679549579424,0.83,0.6300411661336963,14
norm,0.9125,0.41088735382639685,0.83,0.5942471625743371,15
norm,0.9125,0.386969896266391,0.84999996,0.560396206057762,16
norm,0.9375,0.36503744960063655,0.84999996,0.528520365728739,17
norm,0.9375,0.3448733033170771,0.84999996,0.49858991293332267,18
norm,0.9375,0.32624750152589865,0.85999995,0.47052632333929667,19
norm,0.9375,0.30893726412422906,0.87,0.44421700285967236,20
norm,0.9375,0.2927409793796974,0.88,0.4195301094423158,21
norm,0.9375,0.2774859622119822,0.88,0.3963277393905274,22
norm,0.95,0.2630310187428735,0.88,0.37447616569735503,23
norm,0.95,0.24926524268299022,0.88,0.35385267682695704,24
norm,0.95,0.2361045303928719,0.89,0.3343493711377063,25
norm,0.95,0.22348709728673427,0.89,0.3158746634704853,26
norm,0.95,0.21136892008968058,0.89,0.29835326245371924,27
norm,0.9375,0.19971964766791683,0.9,0.28172517802366065,28
norm,0.9375,0.18851920623264584,0.9,0.26594409849544287,29
norm,0.9375,0.17775510615035506,0.90999997,0.25097532124111904,30
norm,0.9375,0.16742033476243826,0.90999997,0.236793346567234,31
norm,0.9375,0.15751167526236556,0.90999997,0.22337923688168623,32
norm,0.9375,0.14802830556978616,0.90999997,0.21071787945299786,33
norm,0.9375,0.13897058295037798,0.90999997,0.1987953427934086,34
norm,0.9375,0.13033898829971005,0.91999996,0.18759655269818618,35
norm,0.9375,0.12213326486129404,0.93,0.17710350720402074,36
norm,0.96250004,0.11435181648526299,0.94,0.16729418854541483,37
norm,0.96250004,0.10699141514970241,0.94,0.1581422254394987,38
norm,0.96250004,0.10004720852366954,0.94,0.14961724022636091,39
norm,0.96250004,0.09351293917769375,0.94,0.14168571721203885,40
norm,0.975,0.08738122440942236,0.94,0.13431217589383918,41
norm,0.975,0.08164373261620744,0.95,0.12746043224183343,42
norm,0.975,0.07629114135213358,0.95,0.12109477194581332,43
norm,0.975,0.07131285919884556,0.95,0.11518092051060673,44
norm,0.975,0.06669660258964427,0.95,0.10968675506987766,45
norm,0.975,0.06242799674509558,0.96,0.10458274807338032,46
norm,0.975,0.05849038371850033,0.96,0.09984216009300084,47
norm,0.975,0.05486496205703809,0.96,0.09544101228501546,48
norm,0.9875,0.0515312750858596,0.96999997,0.0913578758170806,49
norm,0.9875,0.04846795396808409,0.96999997,0.08757352132274082,50
norm,1.0,0.045653552535935796,0.96999997,0.08407047767274219,51
norm,1.0,0.04306730499976198,0.96999997,0.08083255408503337,52
norm,1.0,0.04068968563794552,0.98999995,0.07784437969293069,53
norm,1.0,0.03850272207281921,0.98999995,0.07509100816551623,54
norm,1.0,0.036490080106904216,0.98999995,0.07255762214953572,55
norm,1.0,0.03463697984842892,0.98999995,0.07022935556928257,56
norm,1.0,0.03293001648112587,0.98999995,0.06809123453580218,57
norm,1.0,0.031356951208120834,0.98999995,0.06612822288300904,58
norm,1.0,0.029906518826621875,0.98999995,0.06432534820062255,59
norm,1.0,0.02856827701232736,0.98999995,0.06266787937222416,60
norm,1.0,0.027332504383801304,0.98999995,0.06114152659747923,61
norm,1.0,0.02619014218765794,0.98999995,0.05973263849076771,62
norm,1.0,0.02513276807009517,0.98999995,0.05842837663537452,63
norm,1.0,0.024152588692013865,0.98999995,0.05721685455141991,64
norm,1.0,0.023242439300760278,0.98999995,0.056087234332822984,65
norm,1.0,0.02239578129777384,0.98999995,0.055029779536244376,66
norm,1.0,0.02160669220005795,0.98999995,0.05403586693738662,67
norm,1.0,0.02086984545661701,0.98999995,0.05309796246176208,68
norm,1.0,0.020180479978702294,0.98999995,0.05220956808465345,69
norm,1.0,0.019534360866761347,0.98999995,0.05136514700854665,70
norm,1.0,0.01892773372275634,0.98999995,0.05056003422270001,71
norm,1.0,0.018357275261872277,0.98999995,0.04979033886990324,72
norm,1.0,0.01782004284590809,0.98999995,0.049052843893157644,73
norm,1.0,0.017313425205987536,0.98999995,0.04834490736779794,74
norm,1.0,0.01683509613234305,0.98999995,0.04766436885619427,75
norm,1.0,0.01638297237955506,0.98999995,0.047009463128199896,76
norm,1.0,0.015955176531900463,0.98999995,0.04637874271593129,77
norm,1.0,0.01555000513469568,0.98999995,0.04577101003817129,78
norm,1.0,0.01516590204306309,0.98999995,0.04518525924300389,79
norm,1.0,0.014801436674472446,0.98999995,0.0446206274713462,80
norm,1.0,0.014455286671337143,0.98999995,0.04407635492592659,81
norm,1.0,0.014126224374896443,0.98999995,0.04355175292311431,82
norm,1.0,0.0138131064688184,0.98999995,0.04304617899033793,83
norm,1.0,0.013514866156846855,0.98999995,0.04255901803104783,84
norm,1.0,0.013230507280313615,0.98999995,0.042089668594726785,85
norm,1.0,0.012959099846641887,0.98999995,0.0416375333454529,86
norm,1.0,0.012699776518972694,0.98999995,0.04120201290519093,87
norm,1.0,0.01245172970148736,0.98999995,0.0407825023458104,88
norm,1.0,0.012214208938451768,0.98999995,0.04037838970754842,89
norm,1.0,0.011986518422762113,0.98999995,0.03998905602417667,90
norm,1.0,0.011768014478655792,0.98999995,0.039613876431392796,91
norm,1.0,0.011558102941411212,0.98999995,0.039252222021585015,92
norm,1.0,0.011356236403540524,0.98999995,0.03890346218323594,93
norm,1.0,0.011161911332282535,0.98999995,0.038566967226155616,94
norm,1.0,0.010974665087887326,0.98999995,0.038242111144701524,95
norm,1.0,0.01079407288744966,0.98999995,0.03792827441105979,96
norm,1.0,0.010619744766372253,0.98999995,0.03762484672085344,97
norm,1.0,0.010451322590516773,0.98999995,0.03733122963537541,98
norm,1.0,0.010288477168320353,0.98999995,0.037046839080242394,99
norm,1.0,0.010130905505115233,0.98999995,0.03677110767079771,100
norm,0.800000011920929,0.4227454685698381,0.7599999904632568,0.8089322897562269,1
norm,0.800000011920929,0.2878754394328457,0.7899999618530273,0.7824457230721749,2
norm,1.0,0.18756643821449026,0.7999999523162842,0.7678234130565901,3
norm,1.0,0.11849401975733975,0.7999999523162842,0.7629183562035172,4
norm,1.0,0.0745130952450305,0.7999999523162842,0.7653552023525759,5
norm,1.0,0.04817650225452235,0.8100000023841858,0.7728459138737336,6
norm,1.0,0.032987356890408104,0.8199999928474426,0.7833936681124827,7
norm,1.0,0.024395516453449954,0.8299999833106995,0.7953797899485296,8
norm,1.0,0.019583373870119637,0.8199999928474426,0.8075710581654056,9
norm,1.0,0.01689741489743587,0.8299999833106995,0.819081614384617,10
norm,1.0,0.015379230070999457,0.8299999833106995,0.8293160126203389,11
norm,1.0,0.014470469851536914,0.8299999833106995,0.8379103140125369,12
norm,1.0,0.013844959857636441,0.8299999833106995,0.8446791779340552,13
norm,1.0,0.013315515312008551,0.8299999833106995,0.849571359327197,14
norm,1.0,0.012781068371456802,0.8299999833106995,0.8526333595351318,15
norm,1.0,0.012194970728419015,0.8299999833106995,0.8539800527467373,16
norm,1.0,0.011544619155800276,0.8299999833106995,0.8537710511976235,17
norm,1.0,0.010837573346121688,0.8299999833106995,0.8521918252763062,18
norm,1.0,0.010091853047605752,0.8399999737739563,0.8494388681509064,19
norm,1.0,0.009329261156219749,0.8399999737739563,0.8457083780482637,20
norm,1.0,0.008571051967195337,0.8399999737739563,0.8411880156256436,21
