status,train_acc,train_cost,test_acc,test_cost,step
amp,0.2125000059604644,3.178617477416992,0.209999993443489,2.6967718601226807,1
amp,0.3375000059604645,2.3583011627197266,0.2599999904632568,1.8082808256149288,2
amp,0.3625000119209289,1.6092239618301392,0.3600000143051147,1.1255484819412231,3
amp,0.512499988079071,1.0371932983398438,0.5699999928474426,0.6783816814422607,4
amp,0.737500011920929,0.6601112484931946,0.7799999713897705,0.3901438415050506,5
amp,0.862500011920929,0.4069624841213226,0.9300000071525574,0.2304991483688354,6
amp,0.8999999761581421,0.2626234292984009,0.959999978542328,0.1453338414430618,7
amp,0.912500023841858,0.1809929609298706,0.959999978542328,0.0957633107900619,8
amp,0.925000011920929,0.1272137016057968,0.9800000190734864,0.0665210261940956,9
amp,0.949999988079071,0.08852319419384,0.9900000095367432,0.050609603524208,10
amp,0.975000023841858,0.0616483092308044,0.9900000095367432,0.0430381670594215,11
amp,1.0,0.0446550920605659,0.9900000095367432,0.0398586690425872,12
amp,1.0,0.0347359180450439,0.9800000190734864,0.038362018764019,13
amp,0.987500011920929,0.0289579480886459,0.9800000190734864,0.0370435751974582,14
amp,0.987500011920929,0.0251837633550167,0.9800000190734864,0.0352780036628246,15
amp,0.987500011920929,0.0222483240067958,0.9900000095367432,0.0329537317156791,16
amp,0.987500011920929,0.0196650959551334,0.9900000095367432,0.0301998741924762,17
amp,0.987500011920929,0.0172944497317075,0.9900000095367432,0.027223277837038,18
amp,0.987500011920929,0.0151331247761845,0.9900000095367432,0.0242273025214672,19
amp,1.0,0.0132141038775444,0.9900000095367432,0.0213784929364919,20
amp,1.0,0.0115677881985902,0.9900000095367432,0.0187959261238574,21
amp,1.0,0.010209078900516,0.9900000095367432,0.0165505353361368,22
amp,1.0,0.0091335335746407,0.9900000095367432,0.0146693596616387,23
amp,1.0,0.0083178980275988,0.9900000095367432,0.0131430039182305,24
amp,1.0,0.0077237202785909,1.0,0.0119357071816921,25
amp,1.0,0.0073032788932323,1.0,0.0109965018928051,26
amp,1.0,0.007006075233221,1.0,0.0102694546803832,27
amp,1.0,0.0067847454920411,1.0,0.0097019616514444,28
amp,1.0,0.0065994700416922,1.0,0.009249941445887,29
amp,1.0,0.0064206519164144,1.0,0.0088801942765712,30
amp,1.0,0.0062298169359564,1.0,0.008570484817028,31
