
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.7328, Train Acc: 0.2000, Test Loss: 0.6167, Test Acc: 0.8200, Epoch time: 4.223062 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.6463, Train Acc: 0.8000, Test Loss: 0.5907, Test Acc: 0.9500, Epoch time: 4.225713 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.5720, Train Acc: 1.0000, Test Loss: 0.5723, Test Acc: 0.8600, Epoch time: 4.193626 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.5095, Train Acc: 1.0000, Test Loss: 0.5609, Test Acc: 0.6800, Epoch time: 4.195108 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.4579, Train Acc: 1.0000, Test Loss: 0.5553, Test Acc: 0.6200, Epoch time: 4.210761 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.4163, Train Acc: 0.8000, Test Loss: 0.5538, Test Acc: 0.5800, Epoch time: 4.228326 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.3831, Train Acc: 0.8000, Test Loss: 0.5547, Test Acc: 0.5700, Epoch time: 4.230068 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.3568, Train Acc: 0.8000, Test Loss: 0.5564, Test Acc: 0.5700, Epoch time: 4.243161 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.3358, Train Acc: 0.8000, Test Loss: 0.5576, Test Acc: 0.5600, Epoch time: 4.239861 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.3187, Train Acc: 0.8000, Test Loss: 0.5570, Test Acc: 0.5600, Epoch time: 4.265074 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.3040, Train Acc: 0.8000, Test Loss: 0.5538, Test Acc: 0.5700, Epoch time: 4.260217 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.2909, Train Acc: 0.8000, Test Loss: 0.5474, Test Acc: 0.5700, Epoch time: 4.270612 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.2785, Train Acc: 0.8000, Test Loss: 0.5376, Test Acc: 0.5700, Epoch time: 4.267596 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.2663, Train Acc: 0.8000, Test Loss: 0.5246, Test Acc: 0.5700, Epoch time: 4.259762 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.2541, Train Acc: 0.8000, Test Loss: 0.5087, Test Acc: 0.6100, Epoch time: 4.253959 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.2418, Train Acc: 0.8000, Test Loss: 0.4906, Test Acc: 0.6200, Epoch time: 4.257798 seconds
Train Size: 5, Epoch: 17/100, Train Loss: 0.2295, Train Acc: 0.8000, Test Loss: 0.4709, Test Acc: 0.6700, Epoch time: 4.260511 seconds
Train Size: 5, Epoch: 18/100, Train Loss: 0.2173, Train Acc: 0.8000, Test Loss: 0.4502, Test Acc: 0.6700, Epoch time: 4.786514 seconds
Train Size: 5, Epoch: 19/100, Train Loss: 0.2054, Train Acc: 1.0000, Test Loss: 0.4290, Test Acc: 0.7100, Epoch time: 4.567397 seconds
Train Size: 5, Epoch: 20/100, Train Loss: 0.1939, Train Acc: 1.0000, Test Loss: 0.4080, Test Acc: 0.7700, Epoch time: 4.855171 seconds
Train Size: 5, Epoch: 21/100, Train Loss: 0.1831, Train Acc: 1.0000, Test Loss: 0.3876, Test Acc: 0.8000, Epoch time: 5.010345 seconds
Train Size: 5, Epoch: 22/100, Train Loss: 0.1729, Train Acc: 1.0000, Test Loss: 0.3680, Test Acc: 0.8500, Epoch time: 4.945044 seconds
Train Size: 5, Epoch: 23/100, Train Loss: 0.1636, Train Acc: 1.0000, Test Loss: 0.3497, Test Acc: 0.8700, Epoch time: 4.534212 seconds
Train Size: 5, Epoch: 24/100, Train Loss: 0.1551, Train Acc: 1.0000, Test Loss: 0.3326, Test Acc: 0.9100, Epoch time: 4.950807 seconds
Train Size: 5, Epoch: 25/100, Train Loss: 0.1474, Train Acc: 1.0000, Test Loss: 0.3169, Test Acc: 0.9300, Epoch time: 5.498088 seconds
Train Size: 5, Epoch: 26/100, Train Loss: 0.1404, Train Acc: 1.0000, Test Loss: 0.3026, Test Acc: 0.9300, Epoch time: 4.848231 seconds
Train Size: 5, Epoch: 27/100, Train Loss: 0.1340, Train Acc: 1.0000, Test Loss: 0.2897, Test Acc: 0.9300, Epoch time: 4.902924 seconds
Train Size: 5, Epoch: 28/100, Train Loss: 0.1282, Train Acc: 1.0000, Test Loss: 0.2780, Test Acc: 0.9300, Epoch time: 4.921653 seconds
Train Size: 5, Epoch: 29/100, Train Loss: 0.1229, Train Acc: 1.0000, Test Loss: 0.2676, Test Acc: 0.9300, Epoch time: 4.309253 seconds
Train Size: 5, Epoch: 30/100, Train Loss: 0.1180, Train Acc: 1.0000, Test Loss: 0.2582, Test Acc: 0.9300, Epoch time: 4.274080 seconds
Train Size: 5, Epoch: 31/100, Train Loss: 0.1135, Train Acc: 1.0000, Test Loss: 0.2498, Test Acc: 0.9300, Epoch time: 4.276899 seconds
Train Size: 5, Epoch: 32/100, Train Loss: 0.1092, Train Acc: 1.0000, Test Loss: 0.2423, Test Acc: 0.9300, Epoch time: 4.560679 seconds
Train Size: 5, Epoch: 33/100, Train Loss: 0.1051, Train Acc: 1.0000, Test Loss: 0.2356, Test Acc: 0.9300, Epoch time: 4.832089 seconds
Train Size: 5, Epoch: 34/100, Train Loss: 0.1012, Train Acc: 1.0000, Test Loss: 0.2297, Test Acc: 0.9300, Epoch time: 4.344768 seconds
Train Size: 5, Epoch: 35/100, Train Loss: 0.0974, Train Acc: 1.0000, Test Loss: 0.2243, Test Acc: 0.9400, Epoch time: 4.283241 seconds
Train Size: 5, Epoch: 36/100, Train Loss: 0.0939, Train Acc: 1.0000, Test Loss: 0.2196, Test Acc: 0.9400, Epoch time: 4.367537 seconds
Train Size: 5, Epoch: 37/100, Train Loss: 0.0904, Train Acc: 1.0000, Test Loss: 0.2153, Test Acc: 0.9400, Epoch time: 4.885041 seconds
Train Size: 5, Epoch: 38/100, Train Loss: 0.0871, Train Acc: 1.0000, Test Loss: 0.2116, Test Acc: 0.9400, Epoch time: 4.923362 seconds
Train Size: 5, Epoch: 39/100, Train Loss: 0.0839, Train Acc: 1.0000, Test Loss: 0.2082, Test Acc: 0.9400, Epoch time: 4.534051 seconds
Train Size: 5, Epoch: 40/100, Train Loss: 0.0809, Train Acc: 1.0000, Test Loss: 0.2052, Test Acc: 0.9400, Epoch time: 4.475992 seconds
Train Size: 5, Epoch: 41/100, Train Loss: 0.0780, Train Acc: 1.0000, Test Loss: 0.2025, Test Acc: 0.9400, Epoch time: 4.426509 seconds
Train Size: 5, Epoch: 42/100, Train Loss: 0.0752, Train Acc: 1.0000, Test Loss: 0.2001, Test Acc: 0.9400, Epoch time: 4.453657 seconds
Train Size: 5, Epoch: 43/100, Train Loss: 0.0726, Train Acc: 1.0000, Test Loss: 0.1980, Test Acc: 0.9400, Epoch time: 4.370469 seconds
Train Size: 5, Epoch: 44/100, Train Loss: 0.0701, Train Acc: 1.0000, Test Loss: 0.1961, Test Acc: 0.9400, Epoch time: 4.558956 seconds
Train Size: 5, Epoch: 45/100, Train Loss: 0.0677, Train Acc: 1.0000, Test Loss: 0.1943, Test Acc: 0.9400, Epoch time: 4.415915 seconds
Train Size: 5, Epoch: 46/100, Train Loss: 0.0655, Train Acc: 1.0000, Test Loss: 0.1927, Test Acc: 0.9400, Epoch time: 4.590141 seconds
Train Size: 5, Epoch: 47/100, Train Loss: 0.0634, Train Acc: 1.0000, Test Loss: 0.1911, Test Acc: 0.9400, Epoch time: 4.609968 seconds
Train Size: 5, Epoch: 48/100, Train Loss: 0.0614, Train Acc: 1.0000, Test Loss: 0.1897, Test Acc: 0.9400, Epoch time: 4.407651 seconds
Train Size: 5, Epoch: 49/100, Train Loss: 0.0595, Train Acc: 1.0000, Test Loss: 0.1883, Test Acc: 0.9400, Epoch time: 4.422548 seconds
Train Size: 5, Epoch: 50/100, Train Loss: 0.0577, Train Acc: 1.0000, Test Loss: 0.1870, Test Acc: 0.9400, Epoch time: 4.789937 seconds
Train Size: 5, Epoch: 51/100, Train Loss: 0.0560, Train Acc: 1.0000, Test Loss: 0.1857, Test Acc: 0.9400, Epoch time: 4.505391 seconds
Train Size: 5, Epoch: 52/100, Train Loss: 0.0544, Train Acc: 1.0000, Test Loss: 0.1843, Test Acc: 0.9400, Epoch time: 4.381639 seconds
Train Size: 5, Epoch: 53/100, Train Loss: 0.0529, Train Acc: 1.0000, Test Loss: 0.1830, Test Acc: 0.9400, Epoch time: 4.857007 seconds
Train Size: 5, Epoch: 54/100, Train Loss: 0.0515, Train Acc: 1.0000, Test Loss: 0.1816, Test Acc: 0.9400, Epoch time: 5.375228 seconds
Train Size: 5, Epoch: 55/100, Train Loss: 0.0501, Train Acc: 1.0000, Test Loss: 0.1803, Test Acc: 0.9400, Epoch time: 5.536204 seconds
Train Size: 5, Epoch: 56/100, Train Loss: 0.0488, Train Acc: 1.0000, Test Loss: 0.1789, Test Acc: 0.9400, Epoch time: 5.227329 seconds
Train Size: 5, Epoch: 57/100, Train Loss: 0.0475, Train Acc: 1.0000, Test Loss: 0.1774, Test Acc: 0.9400, Epoch time: 4.396783 seconds
Train Size: 5, Epoch: 58/100, Train Loss: 0.0463, Train Acc: 1.0000, Test Loss: 0.1759, Test Acc: 0.9400, Epoch time: 4.292411 seconds
Train Size: 5, Epoch: 59/100, Train Loss: 0.0452, Train Acc: 1.0000, Test Loss: 0.1744, Test Acc: 0.9400, Epoch time: 4.288551 seconds
Train Size: 5, Epoch: 60/100, Train Loss: 0.0440, Train Acc: 1.0000, Test Loss: 0.1729, Test Acc: 0.9400, Epoch time: 4.297691 seconds
